subscriber_id,signup_date_key,signup_date,country_id,region_id,current_plan_id,primary_device_id,acquisition_channel,subscriber_status,churn_date_key,tenure_months,extra_members_count,estimated_ltv_usd
100165,20201210,2020-12-10,12,2,5,3,Search & SEO,Churned,20250131.0,49,0,1126.51
100166,20220107,2022-01-07,4,2,4,2,Smart TV Pre-install,Active,,47,0,728.03
100167,20210916,2021-09-16,11,2,4,1,Referral,Churned,20231202.0,27,0,418.23
100168,20230811,2023-08-11,5,2,5,1,Social Media Campaign,Active,,28,0,643.72
100169,20230816,2023-08-16,1,1,3,2,Organic Word of Mouth,Active,,28,0,195.72
100170,20231123,2023-11-23,14,3,3,2,Referral,Active,,25,0,174.75
100171,20240417,2024-04-17,15,3,4,1,ISP / Telco Bundle,Active,,20,0,309.8
100172,20200506,2020-05-06,19,4,1,1,Smart TV Pre-install,Active,,67,0,334.33
100173,20240831,2024-08-31,1,1,3,3,Social Media Campaign,Active,,16,0,111.84
100174,20201007,2020-10-07,9,2,5,1,Smart TV Pre-install,Churned,20220409.0,18,0,413.82
100175,20240907,2024-09-07,1,1,4,4,Smart TV Pre-install,Active,,15,0,232.35
100176,20220322,2022-03-22,2,1,4,1,Smart TV Pre-install,Churned,20231205.0,21,0,325.29
100177,20250727,2025-07-27,17,3,3,1,Search & SEO,Active,,5,0,34.95
100178,20240226,2024-02-26,19,4,4,1,Search & SEO,Churned,20251206.0,22,0,340.78
100179,20210107,2021-01-07,19,4,4,1,Referral,Active,,59,0,913.91
100180,20221108,2022-11-08,13,3,4,1,Smart TV Pre-install,Churned,20230612.0,7,0,108.43
100181,20220528,2022-05-28,20,4,5,1,Referral,Active,,43,0,988.57
100182,20220410,2022-04-10,3,2,4,2,Organic Word of Mouth,Active,,44,0,681.56
100183,20240731,2024-07-31,1,1,3,1,Organic Word of Mouth,Active,,17,0,118.83
100184,20240923,2024-09-23,1,1,4,2,Search & SEO,Active,,15,0,232.35
100185,20251201,2025-12-01,1,1,4,4,Referral,Active,,1,1,23.48
100186,20241122,2024-11-22,1,1,5,2,Organic Word of Mouth,Active,,13,0,298.87
100187,20240525,2024-05-25,1,1,3,6,Organic Word of Mouth,Active,,19,0,132.81
100188,20240809,2024-08-09,20,4,3,1,Search & SEO,Active,,16,0,111.84
100189,20211024,2021-10-24,14,3,5,1,Search & SEO,Active,,50,0,1149.5
100190,20251121,2025-11-21,20,4,3,6,Search & SEO,Active,,1,0,6.99
100191,20211017,2021-10-17,9,2,1,4,Social Media Campaign,Churned,20231219.0,26,0,129.74
100192,20230103,2023-01-03,4,2,4,3,Organic Word of Mouth,Active,,35,0,542.15
100193,20230123,2023-01-23,2,1,4,3,ISP / Telco Bundle,Active,,35,0,542.15
100194,20240307,2024-03-07,3,2,5,3,Search & SEO,Active,,21,0,482.79
100195,20230607,2023-06-07,12,2,1,2,Search & SEO,Active,,30,0,149.7
100196,20240309,2024-03-09,16,3,3,1,Smart TV Pre-install,Churned,20240815.0,5,0,34.95
100197,20210918,2021-09-18,1,1,4,1,Organic Word of Mouth,Active,,51,0,789.99
100198,20210424,2021-04-24,14,3,4,6,Organic Word of Mouth,Churned,20210604.0,2,0,30.98
100199,20200518,2020-05-18,1,1,4,2,Social Media Campaign,Churned,20240329.0,46,0,712.54
100200,20210727,2021-07-27,13,3,4,2,Search & SEO,Active,,53,0,820.97
100201,20240427,2024-04-27,4,2,3,2,Organic Word of Mouth,Active,,20,0,139.8
100202,20210203,2021-02-03,1,1,4,1,Social Media Campaign,Active,,58,0,898.42
100203,20200406,2020-04-06,11,2,4,1,Organic Word of Mouth,Churned,20230626.0,38,0,588.62
100204,20200105,2020-01-05,1,1,5,4,Organic Word of Mouth,Churned,20220606.0,29,0,666.71
100205,20250221,2025-02-21,18,4,4,1,Social Media Campaign,Churned,20250804.0,6,0,92.94
100206,20220520,2022-05-20,6,2,4,1,Social Media Campaign,Churned,20241013.0,29,0,449.21
100207,20250927,2025-09-27,3,2,3,5,Search & SEO,Active,,3,0,20.97
100208,20240929,2024-09-29,4,2,4,2,Organic Word of Mouth,Active,,15,0,232.35
100209,20241018,2024-10-18,1,1,4,1,Referral,Active,,14,0,216.86
100210,20201104,2020-11-04,4,2,4,3,Organic Word of Mouth,Active,,61,0,944.89
100211,20200417,2020-04-17,23,4,4,2,Organic Word of Mouth,Churned,20250828.0,64,0,991.36
100212,20200505,2020-05-05,14,3,5,3,Organic Word of Mouth,Active,,67,0,1540.33
100213,20250216,2025-02-16,5,2,5,4,Social Media Campaign,Active,,10,0,229.9
100214,20200513,2020-05-13,4,2,4,2,Search & SEO,Active,,67,0,1037.83
100215,20251022,2025-10-22,1,1,4,1,Social Media Campaign,Active,,2,0,30.98
100216,20250121,2025-01-21,10,2,4,1,Referral,Active,,11,0,170.39
100217,20200605,2020-06-05,13,3,4,1,Organic Word of Mouth,Active,,66,0,1022.34
100218,20221029,2022-10-29,4,2,2,1,Social Media Campaign,Active,,38,0,379.62
100219,20211014,2021-10-14,13,3,4,5,Smart TV Pre-install,Churned,20250222.0,40,0,619.6
100220,20231015,2023-10-15,14,3,4,4,Organic Word of Mouth,Churned,20240304.0,5,0,77.45
100221,20250121,2025-01-21,1,1,3,1,Smart TV Pre-install,Churned,20251020.0,9,0,62.91
100222,20240715,2024-07-15,9,2,4,1,Organic Word of Mouth,Active,,17,0,263.33
100223,20211010,2021-10-10,19,4,4,3,Search & SEO,Churned,20230814.0,22,0,340.78
100224,20210205,2021-02-05,1,1,1,3,Search & SEO,Active,,58,0,289.42
100225,20240428,2024-04-28,15,3,5,1,Organic Word of Mouth,Active,,20,0,459.8
100226,20201026,2020-10-26,21,4,4,1,Organic Word of Mouth,Churned,20220412.0,18,0,278.82
100227,20200827,2020-08-27,1,1,4,1,ISP / Telco Bundle,Active,,64,0,991.36
100228,20200417,2020-04-17,4,2,4,6,Smart TV Pre-install,Churned,20200813.0,4,0,61.96
100229,20210718,2021-07-18,4,2,4,1,Social Media Campaign,Churned,20240919.0,38,0,588.62
100230,20200604,2020-06-04,10,2,4,3,ISP / Telco Bundle,Active,,66,0,1022.34
100231,20201103,2020-11-03,3,2,2,1,Search & SEO,Churned,20241020.0,47,0,469.53
100232,20240408,2024-04-08,3,2,4,1,Organic Word of Mouth,Active,,20,1,469.6
100233,20220627,2022-06-27,2,1,2,3,Smart TV Pre-install,Active,,42,0,419.58
100234,20220326,2022-03-26,8,2,5,5,Smart TV Pre-install,Active,,45,0,1034.55
100235,20240321,2024-03-21,1,1,5,1,ISP / Telco Bundle,Churned,20240801.0,5,0,114.95
100236,20241231,2024-12-31,22,4,4,3,Organic Word of Mouth,Active,,12,0,185.88
100237,20210907,2021-09-07,19,4,4,1,Organic Word of Mouth,Active,,51,0,789.99
100238,20210413,2021-04-13,1,1,5,3,Organic Word of Mouth,Churned,20231125.0,31,0,712.69
100239,20220630,2022-06-30,13,3,5,5,Social Media Campaign,Active,,42,0,965.58
100240,20240714,2024-07-14,20,4,2,1,ISP / Telco Bundle,Active,,17,0,169.83
100241,20250808,2025-08-08,9,2,4,2,ISP / Telco Bundle,Active,,4,2,125.88
100242,20231103,2023-11-03,5,2,1,6,Social Media Campaign,Active,,25,0,124.75
100243,20230628,2023-06-28,15,3,2,4,Organic Word of Mouth,Churned,20240615.0,12,0,119.88
100244,20200709,2020-07-09,1,1,4,1,Social Media Campaign,Active,,65,0,1006.85
100245,20251015,2025-10-15,2,1,5,1,Social Media Campaign,Active,,2,2,77.94
100246,20200225,2020-02-25,1,1,5,1,Organic Word of Mouth,Churned,20220330.0,25,0,574.75
100247,20230422,2023-04-22,1,1,4,2,Organic Word of Mouth,Active,,32,0,495.68
100248,20211112,2021-11-12,14,3,5,3,Social Media Campaign,Active,,49,0,1126.51
100249,20200127,2020-01-27,21,4,4,2,Search & SEO,Active,,71,0,1099.79
100250,20201009,2020-10-09,5,2,2,1,Search & SEO,Active,,62,0,619.38
100251,20240725,2024-07-25,1,1,4,2,Social Media Campaign,Churned,20250103.0,6,0,92.94
100252,20200326,2020-03-26,8,2,5,2,Organic Word of Mouth,Active,,69,0,1586.31
100253,20200316,2020-03-16,2,1,1,1,Social Media Campaign,Churned,20230926.0,42,0,209.58
100254,20200601,2020-06-01,5,2,4,1,ISP / Telco Bundle,Active,,66,0,1022.34
100255,20250724,2025-07-24,1,1,3,2,Organic Word of Mouth,Active,,5,0,34.95
100256,20210315,2021-03-15,2,1,1,1,Smart TV Pre-install,Churned,20230116.0,22,0,109.78
100257,20240311,2024-03-11,18,4,4,3,Search & SEO,Active,,21,0,325.29
100258,20200604,2020-06-04,3,2,4,2,Search & SEO,Active,,66,0,1022.34
100259,20240222,2024-02-22,7,2,5,3,ISP / Telco Bundle,Active,,22,0,505.78
100260,20240130,2024-01-30,13,3,2,2,Social Media Campaign,Active,,23,0,229.77
100261,20200206,2020-02-06,19,4,1,5,Organic Word of Mouth,Churned,20201123.0,9,0,44.91
100262,20200607,2020-06-07,18,4,4,1,ISP / Telco Bundle,Active,,66,0,1022.34
100263,20240114,2024-01-14,14,3,5,5,Organic Word of Mouth,Active,,23,0,528.77
100264,20200703,2020-07-03,1,1,4,3,ISP / Telco Bundle,Active,,65,0,1006.85
100265,20230524,2023-05-24,2,1,3,1,Organic Word of Mouth,Active,,31,0,216.69
100266,20221025,2022-10-25,18,4,4,2,Smart TV Pre-install,Active,,38,0,588.62
100267,20210820,2021-08-20,7,2,4,1,Social Media Campaign,Active,,52,0,805.48
100268,20230303,2023-03-03,1,1,4,3,Smart TV Pre-install,Active,,33,0,511.17
100269,20250919,2025-09-19,1,1,5,1,Social Media Campaign,Active,,3,0,68.97
100270,20231116,2023-11-16,2,1,3,1,ISP / Telco Bundle,Active,,25,0,174.75
100271,20250301,2025-03-01,3,2,3,1,Organic Word of Mouth,Active,,9,0,62.91
100272,20240919,2024-09-19,16,3,1,1,Smart TV Pre-install,Active,,15,0,74.85
100273,20210111,2021-01-11,19,4,4,2,Search & SEO,Active,,59,0,913.91
100274,20210106,2021-01-06,14,3,5,1,ISP / Telco Bundle,Active,,59,0,1356.41
100275,20210923,2021-09-23,13,3,2,2,Smart TV Pre-install,Active,,51,0,509.49
100276,20220603,2022-06-03,18,4,4,2,ISP / Telco Bundle,Churned,20221104.0,5,0,77.45
100277,20211002,2021-10-02,1,1,4,2,Search & SEO,Churned,20250422.0,42,0,650.58
100278,20220717,2022-07-17,14,3,1,1,Social Media Campaign,Churned,20240527.0,22,0,109.78
100279,20250612,2025-06-12,1,1,4,2,Organic Word of Mouth,Active,,6,1,140.88
100280,20240122,2024-01-22,1,1,5,1,Search & SEO,Active,,23,1,712.54
100281,20200623,2020-06-23,14,3,5,1,Referral,Active,,66,0,1517.34
100282,20200308,2020-03-08,1,1,4,1,Organic Word of Mouth,Active,,69,0,1068.81
100283,20231010,2023-10-10,6,2,5,1,Smart TV Pre-install,Active,,26,0,597.74
100284,20220312,2022-03-12,1,1,1,3,Organic Word of Mouth,Active,,45,0,224.55
100285,20210907,2021-09-07,1,1,2,1,Smart TV Pre-install,Churned,20231203.0,27,0,269.73
100286,20250722,2025-07-22,1,1,4,1,Organic Word of Mouth,Active,,5,0,77.45
100287,20220815,2022-08-15,2,1,4,1,Search & SEO,Active,,40,0,619.6
100288,20240913,2024-09-13,7,2,4,5,Search & SEO,Active,,15,0,232.35
100289,20220628,2022-06-28,1,1,2,1,Social Media Campaign,Active,,42,0,419.58
100290,20210416,2021-04-16,20,4,1,1,Search & SEO,Active,,56,0,279.44
100291,20230411,2023-04-11,1,1,5,1,Organic Word of Mouth,Churned,20230922.0,5,0,114.95
100292,20230311,2023-03-11,13,3,3,1,Organic Word of Mouth,Active,,33,0,230.67
100293,20230513,2023-05-13,14,3,4,3,Organic Word of Mouth,Churned,20240913.0,16,0,247.84
100294,20231203,2023-12-03,24,4,3,3,Organic Word of Mouth,Active,,24,0,167.76
100295,20251119,2025-11-19,15,3,1,1,Organic Word of Mouth,Active,,1,0,4.99
100296,20200611,2020-06-11,3,2,2,2,Social Media Campaign,Active,,66,0,659.34
100297,20200527,2020-05-27,2,1,4,1,Search & SEO,Active,,67,0,1037.83
100298,20210317,2021-03-17,14,3,4,5,Search & SEO,Churned,20251015.0,55,0,851.95
100299,20220210,2022-02-10,2,1,5,2,Organic Word of Mouth,Active,,46,0,1057.54
100300,20200210,2020-02-10,3,2,4,1,Organic Word of Mouth,Churned,20200518.0,3,0,46.47
100301,20250509,2025-05-09,13,3,5,2,Organic Word of Mouth,Active,,7,0,160.93
100302,20201029,2020-10-29,3,2,5,1,Organic Word of Mouth,Active,,62,0,1425.38
100303,20231125,2023-11-25,1,1,5,3,Search & SEO,Active,,25,0,574.75
