cohort_signup_month,tenure_month,evaluation_month,initial_cohort_size,retained_subscribers_count,retention_rate_pct
2021-04,9,2022-01,3589636,2748225,76.56
2021-04,10,2022-02,3589636,2672842,74.46
2021-04,11,2022-03,3589636,2613972,72.82
2021-04,12,2022-04,3589636,2538231,70.71
2021-04,13,2022-05,3589636,2462490,68.6
2021-04,14,2022-06,3589636,2423722,67.52
2021-04,15,2022-07,3589636,2363775,65.85
2021-04,16,2022-08,3589636,2289469,63.78
2021-04,17,2022-09,3589636,2227369,62.05
2021-04,18,2022-10,3589636,2172806,60.53
2021-04,19,2022-11,3589636,2129013,59.31
2021-04,20,2022-12,3589636,2087732,58.16
2021-04,21,2023-01,3589636,2012349,56.06
2021-04,22,2023-02,3589636,1960659,54.62
2021-04,23,2023-03,3589636,1909686,53.2
2021-04,24,2023-04,3589636,1857995,51.76
2021-05,0,2021-05,3318248,3318248,100.0
2021-05,1,2021-06,3318248,3134417,94.46
2021-05,2,2021-07,3318248,3027237,91.23
2021-05,3,2021-08,3318248,2991400,90.15
2021-05,4,2021-09,3318248,2880902,86.82
2021-05,5,2021-10,3318248,2822501,85.06
2021-05,6,2021-11,3318248,2741868,82.63
2021-05,7,2021-12,3318248,2657252,80.08
2021-05,8,2022-01,3318248,2619093,78.93
2021-05,9,2022-02,3318248,2521204,75.98
2021-05,10,2022-03,3318248,2473422,74.54
2021-05,11,2022-04,3318248,2406061,72.51
2021-05,12,2022-05,3318248,2332728,70.3
2021-05,13,2022-06,3318248,2268686,68.37
2021-05,14,2022-07,3318248,2232849,67.29
2021-05,15,2022-08,3318248,2173452,65.5
2021-05,16,2022-09,3318248,2128987,64.16
2021-05,17,2022-10,3318248,2045368,61.64
2021-05,18,2022-11,3318248,2004885,60.42
2021-05,19,2022-12,3318248,1938188,58.41
2021-05,20,2023-01,3318248,1902019,57.32
2021-05,21,2023-02,3318248,1846273,55.64
2021-05,22,2023-03,3318248,1830677,55.17
2021-05,23,2023-04,3318248,1775926,53.52
2021-05,24,2023-05,3318248,1733120,52.23
2021-06,0,2021-06,3402870,3402870,100.0
2021-06,1,2021-07,3402870,3225580,94.79
2021-06,2,2021-08,3402870,3129619,91.97
2021-06,3,2021-09,3402870,3029575,89.03
2021-06,4,2021-10,3402870,2967302,87.2
2021-06,5,2021-11,3402870,2912176,85.58
2021-06,6,2021-12,3402870,2836292,83.35
2021-06,7,2022-01,3402870,2718893,79.9
2021-06,8,2022-02,3402870,2677718,78.69
2021-06,9,2022-03,3402870,2622251,77.06
2021-06,10,2022-04,3402870,2525269,74.21
2021-06,11,2022-05,3402870,2450746,72.02
2021-06,12,2022-06,3402870,2407530,70.75
2021-06,13,2022-07,3402870,2350702,69.08
2021-06,14,2022-08,3402870,2266651,66.61
2021-06,15,2022-09,3402870,2206420,64.84
2021-06,16,2022-10,3402870,2158100,63.42
2021-06,17,2022-11,3402870,2102973,61.8
2021-06,18,2022-12,3402870,2061798,60.59
2021-06,19,2023-01,3402870,2029131,59.63
2021-06,20,2023-02,3402870,1949504,57.29
2021-06,21,2023-03,3402870,1907648,56.06
2021-06,22,2023-04,3402870,1879064,55.22
2021-06,23,2023-05,3402870,1815090,53.34
2021-06,24,2023-06,3402870,1749075,51.4
2021-07,0,2021-07,2684834,2684834,100.0
2021-07,1,2021-08,2684834,2536094,94.46
2021-07,2,2021-09,2684834,2465751,91.84
2021-07,3,2021-10,2684834,2400241,89.4
2021-07,4,2021-11,2684834,2344934,87.34
2021-07,5,2021-12,2684834,2257139,84.07
2021-07,6,2022-01,2684834,2212840,82.42
2021-07,7,2022-02,2684834,2164781,80.63
2021-07,8,2022-03,2684834,2101688,78.28
2021-07,9,2022-04,2684834,2043695,76.12
2021-07,10,2022-05,2684834,1986240,73.98
2021-07,11,2022-06,2684834,1940866,72.29
2021-07,12,2022-07,2684834,1894418,70.56
2021-07,13,2022-08,2684834,1857905,69.2
2021-07,14,2022-09,2684834,1796959,66.93
2021-07,15,2022-10,2684834,1740309,64.82
2021-07,16,2022-11,2684834,1744873,64.99
2021-07,17,2022-12,2684834,1669429,62.18
2021-07,18,2023-01,2684834,1608752,59.92
2021-07,19,2023-02,2684834,1581904,58.92
2021-07,20,2023-03,2684834,1535993,57.21
2021-07,21,2023-04,2684834,1513172,56.36
2021-07,22,2023-05,2684834,1470752,54.78
2021-07,23,2023-06,2684834,1423767,53.03
2021-07,24,2023-07,2684834,1385105,51.59
2021-08,0,2021-08,3236168,3236168,100.0
2021-08,1,2021-09,3236168,3055266,94.41
2021-08,2,2021-10,3236168,2977274,92.0
2021-08,3,2021-11,3236168,2898635,89.57
2021-08,4,2021-12,3236168,2842973,87.85
2021-08,5,2022-01,3236168,2742975,84.76
2021-08,6,2022-02,3236168,2663366,82.3
2021-08,7,2022-03,3236168,2603497,80.45
2021-08,8,2022-04,3236168,2503499,77.36
2021-08,9,2022-05,3236168,2483435,76.74
2021-08,10,2022-06,3236168,2409003,74.44
2021-08,11,2022-07,3236168,2369845,73.23
2021-08,12,2022-08,3236168,2294443,70.9
2021-08,13,2022-09,3236168,2235868,69.09
2021-08,14,2022-10,3236168,2172763,67.14
2021-08,15,2022-11,3236168,2138136,66.07
2021-08,16,2022-12,3236168,2079885,64.27
2021-08,17,2023-01,3236168,2005776,61.98
2021-08,18,2023-02,3236168,1965648,60.74
2021-08,19,2023-03,3236168,1918724,59.29
2021-08,20,2023-04,3236168,1854647,57.31
2021-08,21,2023-05,3236168,1821315,56.28
2021-08,22,2023-06,3236168,1769213,54.67
2021-08,23,2023-07,3236168,1731997,53.52
2021-08,24,2023-08,3236168,1682160,51.98
2021-09,0,2021-09,3014135,3014135,100.0
2021-09,1,2021-10,3014135,2837205,94.13
2021-09,2,2021-11,3014135,2759742,91.56
2021-09,3,2021-12,3014135,2711515,89.96
2021-09,4,2022-01,3014135,2620790,86.95
2021-09,5,2022-02,3014135,2575578,85.45
2021-09,6,2022-03,3014135,2493292,82.72
2021-09,7,2022-04,3014135,2438435,80.9
2021-09,8,2022-05,3014135,2362479,78.38
2021-09,9,2022-06,3014135,2309430,76.62
2021-09,10,2022-07,3014135,2257285,74.89
2021-09,11,2022-08,3014135,2205442,73.17
2021-09,12,2022-09,3014135,2119238,70.31
2021-09,13,2022-10,3014135,2057147,68.25
2021-09,14,2022-11,3014135,2035746,67.54
2021-09,15,2022-12,3014135,1969435,65.34
2021-09,16,2023-01,3014135,1915181,63.54
2021-09,17,2023-02,3014135,1876299,62.25
2021-09,18,2023-03,3014135,1836813,60.94
2021-09,19,2023-04,3014135,1765378,58.57
2021-09,20,2023-05,3014135,1747595,57.98
2021-09,21,2023-06,3014135,1681585,55.79
2021-09,22,2023-07,3014135,1655362,54.92
2021-09,23,2023-08,3014135,1615576,53.6
2021-09,24,2023-09,3014135,1583626,52.54
2021-10,0,2021-10,3388066,3388066,100.0
2021-10,1,2021-11,3388066,3214597,94.88
2021-10,2,2021-12,3388066,3118714,92.05
2021-10,3,2022-01,3388066,3017072,89.05
2021-10,4,2022-02,3388066,2961169,87.4
2021-10,5,2022-03,3388066,2876468,84.9
2021-10,6,2022-04,3388066,2787700,82.28
2021-10,7,2022-05,3388066,2734846,80.72
2021-10,8,2022-06,3388066,2643707,78.03
2021-10,9,2022-07,3388066,2589498,76.43
2021-10,10,2022-08,3388066,2545792,75.14
2021-10,11,2022-09,3388066,2461429,72.65
2021-10,12,2022-10,3388066,2377405,70.17
2021-10,13,2022-11,3388066,2346913,69.27
2021-10,14,2022-12,3388066,2263228,66.8
2021-10,15,2023-01,3388066,2199193,64.91
2021-10,16,2023-02,3388066,2172089,64.11
2021-10,17,2023-03,3388066,2112797,62.36
2021-10,18,2023-04,3388066,2049779,60.5
2021-10,19,2023-05,3388066,1962706,57.93
2021-10,20,2023-06,3388066,1916290,56.56
2021-10,21,2023-07,3388066,1918661,56.63
2021-10,22,2023-08,3388066,1825151,53.87
2021-10,23,2023-09,3388066,1802789,53.21
2021-10,24,2023-10,3388066,1754001,51.77
2021-11,0,2021-11,3846983,3846983,100.0
2021-11,1,2021-12,3846983,3611547,93.88
2021-11,2,2022-01,3846983,3564229,92.65
2021-11,3,2022-02,3846983,3449974,89.68
2021-11,4,2022-03,3846983,3361109,87.37
2021-11,5,2022-04,3846983,3261472,84.78
2021-11,6,2022-05,3846983,3179146,82.64
2021-11,7,2022-06,3846983,3129520,81.35
2021-11,8,2022-07,3846983,3030268,78.77
2021-11,9,2022-08,3846983,2926784,76.08
2021-11,10,2022-09,3846983,2886006,75.02
2021-11,11,2022-10,3846983,2805220,72.92
2021-11,12,2022-11,3846983,2725587,70.85
2021-11,13,2022-12,3846983,2646724,68.8
2021-11,14,2023-01,3846983,2582864,67.14
2021-11,15,2023-02,3846983,2502077,65.04
2021-11,16,2023-03,3846983,2483227,64.55
2021-11,17,2023-04,3846983,2417059,62.83
2021-11,18,2023-05,3846983,2325501,60.45
2021-11,19,2023-06,3846983,2295494,59.67
2021-11,20,2023-07,3846983,2191241,56.96
2021-11,21,2023-08,3846983,2157003,56.07
2021-11,22,2023-09,3846983,2081987,54.12
2021-11,23,2023-10,3846983,2053134,53.37
2021-11,24,2023-11,3846983,2002354,52.05
2021-12,0,2021-12,3750794,3750794,100.0
2021-12,1,2022-01,3750794,3549001,94.62
2021-12,2,2022-02,3750794,3471359,92.55
2021-12,3,2022-03,3750794,3344958,89.18
2021-12,4,2022-04,3750794,3282694,87.52
2021-12,5,2022-05,3750794,3159293,84.23
2021-12,6,2022-06,3750794,3128537,83.41
2021-12,7,2022-07,3750794,3028391,80.74
2021-12,8,2022-08,3750794,2942122,78.44
2021-12,9,2022-09,3750794,2883985,76.89
2021-12,10,2022-10,3750794,2780838,74.14
2021-12,11,2022-11,3750794,2738079,73.0
2021-12,12,2022-12,3750794,2642809,70.46
2021-12,13,2023-01,3750794,2597049,69.24
2021-12,14,2023-02,3750794,2510031,66.92
2021-12,15,2023-03,3750794,2428264,64.74
2021-12,16,2023-04,3750794,2398632,63.95
2021-12,17,2023-05,3750794,2322116,61.91
2021-12,18,2023-06,3750794,2258353,60.21
2021-12,19,2023-07,3750794,2218219,59.14
2021-12,20,2023-08,3750794,2166833,57.77
2021-12,21,2023-09,3750794,2101194,56.02
2021-12,22,2023-10,3750794,2052434,54.72
2021-12,23,2023-11,3750794,2009300,53.57
2021-12,24,2023-12,3750794,1956039,52.15
2022-01,0,2022-01,3629929,3629929,100.0
2022-01,1,2022-02,3629929,3461500,95.36
2022-01,2,2022-03,3629929,3343527,92.11
2022-01,3,2022-04,3629929,3243704,89.36
2022-01,4,2022-05,3629929,3185988,87.77
2022-01,5,2022-06,3629929,3092699,85.2
2022-01,6,2022-07,3629929,3004129,82.76
2022-01,7,2022-08,3629929,2924996,80.58
2022-01,8,2022-09,3629929,2860747,78.81
2022-01,9,2022-10,3629929,2777258,76.51
2022-01,10,2022-11,3629929,2707201,74.58
2022-01,11,2022-12,3629929,2626979,72.37
2022-01,12,2023-01,3629929,2570352,70.81
2022-01,13,2023-02,3629929,2512636,69.22
2022-01,14,2023-03,3629929,2448024,67.44
2022-01,15,2023-04,3629929,2380870,65.59
2022-01,16,2023-05,3629929,2292663,63.16
2022-01,17,2023-06,3629929,2255274,62.13
2022-01,18,2023-07,3629929,2193203,60.42
2022-01,19,2023-08,3629929,2159081,59.48
2022-01,20,2023-09,3629929,2080312,57.31
2022-01,21,2023-10,3629929,2046190,56.37
2022-01,22,2023-11,3629929,1968873,54.24
2022-01,23,2023-12,3629929,1938382,53.4
2022-01,24,2024-01,3629929,1897363,52.27
2022-02,0,2022-02,3567620,3567620,100.0
2022-02,1,2022-03,3567620,3386028,94.91
2022-02,2,2022-04,3567620,3271150,91.69
2022-02,3,2022-05,3567620,3185527,89.29
2022-02,4,2022-06,3567620,3108110,87.12
2022-02,5,2022-07,3567620,3030336,84.94
2022-02,6,2022-08,3567620,2957200,82.89
2022-02,7,2022-09,3567620,2878355,80.68
2022-02,8,2022-10,3567620,2806646,78.67
2022-02,9,2022-11,3567620,2749207,77.06
2022-02,10,2022-12,3567620,2646460,74.18
2022-02,11,2023-01,3567620,2602935,72.96
2022-02,12,2023-02,3567620,2518382,70.59
2022-02,13,2023-03,3567620,2474144,69.35
2022-02,14,2023-04,3567620,2397797,67.21
2022-02,15,2023-05,3567620,2343569,65.69
2022-02,16,2023-06,3567620,2274357,63.75
2022-02,17,2023-07,3567620,2205502,61.82
2022-02,18,2023-08,3567620,2147350,60.19
2022-02,19,2023-09,3567620,2104182,58.98
2022-02,20,2023-10,3567620,2047457,57.39
2022-02,21,2023-11,3567620,2019629,56.61
2022-02,22,2023-12,3567620,1962547,55.01
2022-02,23,2024-01,3567620,1881206,52.73
2022-02,24,2024-02,3567620,1851238,51.89
2022-03,0,2022-03,3469864,3469864,100.0
2022-03,1,2022-04,3469864,3280756,94.55
2022-03,2,2022-05,3469864,3169026,91.33
2022-03,3,2022-06,3469864,3088525,89.01
2022-03,4,2022-07,3469864,3036824,87.52
2022-03,5,2022-08,3469864,2949384,85.0
2022-03,6,2022-09,3469864,2885538,83.16
2022-03,7,2022-10,3469864,2799833,80.69
2022-03,8,2022-11,3469864,2721761,78.44
2022-03,9,2022-12,3469864,2650976,76.4
2022-03,10,2023-01,3469864,2575333,74.22
2022-03,11,2023-02,3469864,2535429,73.07
2022-03,12,2023-03,3469864,2475400,71.34
2022-03,13,2023-04,3469864,2384490,68.72
2022-03,14,2023-05,3469864,2298437,66.24
2022-03,15,2023-06,3469864,2257840,65.07
2022-03,16,2023-07,3469864,2245002,64.7
2022-03,17,2023-08,3469864,2168318,62.49
2022-03,18,2023-09,3469864,2102737,60.6
2022-03,19,2023-10,3469864,2036810,58.7
2022-03,20,2023-11,3469864,2023971,58.33
2022-03,21,2023-12,3469864,1937572,55.84
2022-03,22,2024-01,3469864,1891769,54.52
2022-03,23,2024-02,3469864,1831741,52.79
2022-03,24,2024-03,3469864,1818902,52.42
2022-04,0,2022-04,4031739,4031739,100.0
2022-04,1,2022-05,4031739,3800720,94.27
2022-04,2,2022-06,4031739,3726536,92.43
2022-04,3,2022-07,4031739,3621711,89.83
2022-04,4,2022-08,4031739,3518095,87.26
2022-04,5,2022-09,4031739,3425365,84.96
2022-04,6,2022-10,4031739,3372952,83.66
2022-04,7,2022-11,4031739,3254419,80.72
2022-04,8,2022-12,4031739,3189105,79.1
2022-04,9,2023-01,4031739,3075007,76.27
2022-04,10,2023-02,4031739,2994372,74.27
2022-04,11,2023-03,4031739,2928252,72.63
2022-04,12,2023-04,4031739,2854874,70.81
2022-04,13,2023-05,4031739,2768191,68.66
2022-04,14,2023-06,4031739,2708925,67.19
2022-04,15,2023-07,4031739,2646836,65.65
2022-04,16,2023-08,4031739,2577490,63.93
2022-04,17,2023-09,4031739,2512982,62.33
2022-04,18,2023-10,4031739,2432348,60.33
2022-04,19,2023-11,4031739,2433557,60.36
2022-04,20,2023-12,4031739,2310992,57.32
2022-04,21,2024-01,4031739,2270675,56.32
2022-04,22,2024-02,4031739,2211408,54.85
2022-04,23,2024-03,4031739,2133999,52.93
2022-04,24,2024-04,4031739,2096907,52.01
2022-05,0,2022-05,2540877,2540877,100.0
2022-05,1,2022-06,2540877,2399858,94.45
2022-05,2,2022-07,2540877,2341672,92.16
2022-05,3,2022-08,2540877,2288059,90.05
2022-05,4,2022-09,2540877,2227840,87.68
2022-05,5,2022-10,2540877,2164573,85.19
2022-05,6,2022-11,2540877,2089109,82.22
2022-05,7,2022-12,2540877,2046168,80.53
2022-05,8,2023-01,2540877,1983662,78.07
2022-05,9,2023-02,2540877,1955967,76.98
2022-05,10,2023-03,2540877,1897018,74.66
2022-05,11,2023-04,2540877,1835021,72.22
2022-05,12,2023-05,2540877,1812915,71.35
2022-05,13,2023-06,2540877,1749139,68.84
2022-05,14,2023-07,2540877,1690953,66.55
2022-05,15,2023-08,2540877,1678503,66.06
2022-05,16,2023-09,2540877,1623620,63.9
2022-05,17,2023-10,2540877,1595416,62.79
2022-05,18,2023-11,2540877,1516649,59.69
2022-05,19,2023-12,2540877,1484126,58.41
2022-05,20,2024-01,2540877,1446521,56.93
2022-05,21,2024-02,2540877,1420858,55.92
2022-05,22,2024-03,2540877,1393925,54.86
2022-05,23,2024-04,2540877,1340058,52.74
2022-05,24,2024-05,2540877,1325575,52.17
2022-06,0,2022-06,3476731,3476731,100.0
2022-06,1,2022-07,3476731,3290725,94.65
2022-06,2,2022-08,3476731,3192682,91.83
2022-06,3,2022-09,3476731,3124538,89.87
2022-06,4,2022-10,3476731,3021974,86.92
2022-06,5,2022-11,3476731,2977472,85.64
2022-06,6,2022-12,3476731,2894030,83.24
2022-06,7,2023-01,3476731,2789033,80.22
2022-06,8,2023-02,3476731,2716022,78.12
2022-06,9,2023-03,3476731,2661437,76.55
2022-06,10,2023-04,3476731,2588078,74.44
2022-06,11,2023-05,3476731,2545662,73.22
2022-06,12,2023-06,3476731,2441360,70.22
2022-06,13,2023-07,3476731,2393381,68.84
2022-06,14,2023-08,3476731,2352008,67.65
2022-06,15,2023-09,3476731,2277606,65.51
2022-06,16,2023-10,3476731,2206681,63.47
2022-06,17,2023-11,3476731,2150010,61.84
2022-06,18,2023-12,3476731,2111071,60.72
2022-06,19,2024-01,3476731,2054052,59.08
2022-06,20,2024-02,3476731,1997729,57.46
2022-06,21,2024-03,3476731,1957399,56.3
2022-06,22,2024-04,3476731,1916721,55.13
2022-06,23,2024-05,3476731,1835713,52.8
2022-06,24,2024-06,3476731,1822850,52.43
2022-07,0,2022-07,3360393,3360393,100.0
2022-07,1,2022-08,3360393,3158769,94.0
2022-07,2,2022-09,3360393,3106011,92.43
2022-07,3,2022-10,3360393,2996798,89.18
2022-07,4,2022-11,3360393,2923205,86.99
2022-07,5,2022-12,3360393,2874480,85.54
2022-07,6,2023-01,3360393,2776020,82.61
2022-07,7,2023-02,3360393,2726958,81.15
2022-07,8,2023-03,3360393,2643285,78.66
2022-07,9,2023-04,3360393,2577757,76.71
2022-07,10,2023-05,3360393,2515926,74.87
2022-07,11,2023-06,3360393,2428219,72.26
2022-07,12,2023-07,3360393,2391591,71.17
2022-07,13,2023-08,3360393,2324719,69.18
2022-07,14,2023-09,3360393,2262216,67.32
2022-07,15,2023-10,3360393,2227268,66.28
2022-07,16,2023-11,3360393,2167789,64.51
2022-07,17,2023-12,3360393,2119735,63.08
2022-07,18,2024-01,3360393,2021948,60.17
2022-07,19,2024-02,3360393,1962805,58.41
2022-07,20,2024-03,3360393,1925505,57.3
2022-07,21,2024-04,3360393,1903998,56.66
2022-07,22,2024-05,3360393,1833430,54.56
2022-07,23,2024-06,3360393,1789745,53.26
2022-07,24,2024-07,3360393,1744716,51.92
2022-08,0,2022-08,3246228,3246228,100.0
2022-08,1,2022-09,3246228,3077099,94.79
2022-08,2,2022-10,3246228,2980686,91.82
2022-08,3,2022-11,3246228,2923552,90.06
2022-08,4,2022-12,3246228,2843046,87.58
2022-08,5,2023-01,3246228,2761890,85.08
2022-08,6,2023-02,3246228,2674567,82.39
2022-08,7,2023-03,3246228,2609642,80.39
2022-08,8,2023-04,3246228,2551859,78.61
2022-08,9,2023-05,3246228,2515177,77.48
2022-08,10,2023-06,3246228,2411947,74.3
2022-08,11,2023-07,3246228,2345399,72.25
2022-08,12,2023-08,3246228,2299952,70.85
2022-08,13,2023-09,3246228,2235027,68.85
2022-08,14,2023-10,3246228,2189256,67.44
2022-08,15,2023-11,3246228,2143159,66.02
2022-08,16,2023-12,3246228,2057134,63.37
2022-08,17,2024-01,3246228,2024997,62.38
2022-08,18,2024-02,3246228,1976952,60.9
2022-08,19,2024-03,3246228,1928259,59.4
2022-08,20,2024-04,3246228,1873073,57.7
2022-08,21,2024-05,3246228,1815290,55.92
2022-08,22,2024-06,3246228,1785425,55.0
2022-08,23,2024-07,3246228,1731862,53.35
2022-08,24,2024-08,3246228,1699724,52.36
2022-09,0,2022-09,3051562,3051562,100.0
2022-09,1,2022-10,3051562,2883115,94.48
2022-09,2,2022-11,3051562,2791263,91.47
2022-09,3,2022-12,3051562,2724434,89.28
2022-09,4,2023-01,3051562,2690257,88.16
2022-09,5,2023-02,3051562,2617324,85.77
2022-09,6,2023-03,3051562,2531880,82.97
2022-09,7,2023-04,3051562,2449183,80.26
2022-09,8,2023-05,3051562,2392119,78.39
2022-09,9,2023-06,3051562,2358857,77.3
2022-09,10,2023-07,3051562,2296300,75.25
2022-09,11,2023-08,3051562,2214823,72.58
2022-09,12,2023-09,3051562,2173017,71.21
2022-09,13,2023-10,3051562,2107103,69.05
2022-09,14,2023-11,3051562,2043325,66.96
2022-09,15,2023-12,3051562,2003655,65.66
2022-09,16,2024-01,3051562,1964595,64.38
2022-09,17,2024-02,3051562,1907836,62.52
2022-09,18,2024-03,3051562,1866640,61.17
2022-09,19,2024-04,3051562,1812017,59.38
2022-09,20,2024-05,3051562,1761666,57.73
2022-09,21,2024-06,3051562,1732371,56.77
2022-09,22,2024-07,3051562,1693006,55.48
2022-09,23,2024-08,3051562,1628923,53.38
2022-09,24,2024-09,3051562,1586507,51.99
2022-10,0,2022-10,3104551,3104551,100.0
2022-10,1,2022-11,3104551,2924487,94.2
2022-10,2,2022-12,3104551,2851530,91.85
2022-10,3,2023-01,3104551,2784782,89.7
2022-10,4,2023-02,3104551,2732625,88.02
2022-10,5,2023-03,3104551,2645077,85.2
2022-10,6,2023-04,3104551,2569015,82.75
2022-10,7,2023-05,3104551,2505062,80.69
2022-10,8,2023-06,3104551,2410994,77.66
2022-10,9,2023-07,3104551,2382121,76.73
2022-10,10,2023-08,3104551,2301093,74.12
2022-10,11,2023-09,3104551,2231861,71.89
2022-10,12,2023-10,3104551,2194917,70.7
2022-10,13,2023-11,3104551,2156731,69.47
2022-10,14,2023-12,3104551,2086568,67.21
2022-10,15,2024-01,3104551,2038137,65.65
2022-10,16,2024-02,3104551,1991259,64.14
2022-10,17,2024-03,3104551,1927305,62.08
2022-10,18,2024-04,3104551,1898122,61.14
2022-10,19,2024-05,3104551,1825475,58.8
2022-10,20,2024-06,3104551,1804675,58.13
2022-10,21,2024-07,3104551,1730166,55.73
2022-10,22,2024-08,3104551,1703467,54.87
2022-10,23,2024-09,3104551,1659072,53.44
2022-10,24,2024-10,3104551,1614987,52.02
2022-11,0,2022-11,3650887,3650887,100.0
2022-11,1,2022-12,3650887,3441691,94.27
2022-11,2,2023-01,3650887,3384737,92.71
2022-11,3,2023-02,3650887,3254765,89.15
2022-11,4,2023-03,3650887,3224828,88.33
2022-11,5,2023-04,3650887,3092666,84.71
2022-11,6,2023-05,3650887,3026220,82.89
2022-11,7,2023-06,3650887,2924725,80.11
2022-11,8,2023-07,3650887,2871422,78.65
2022-11,9,2023-08,3650887,2790738,76.44
2022-11,10,2023-09,3650887,2732323,74.84
2022-11,11,2023-10,3650887,2648718,72.55
2022-11,12,2023-11,3650887,2587383,70.87
2022-11,13,2023-12,3650887,2513635,68.85
2022-11,14,2024-01,3650887,2454491,67.23
2022-11,15,2024-02,3650887,2396807,65.65
2022-11,16,2024-03,3650887,2343504,64.19
2022-11,17,2024-04,3650887,2271581,62.22
2022-11,18,2024-05,3650887,2217183,60.73
2022-11,19,2024-06,3650887,2151467,58.93
2022-11,20,2024-07,3650887,2103641,57.62
2022-11,21,2024-08,3650887,2025512,55.48
2022-11,22,2024-09,3650887,1993749,54.61
2022-11,23,2024-10,3650887,1944462,53.26
2022-11,24,2024-11,3650887,1881302,51.53
2022-12,0,2022-12,3270674,3270674,100.0
2022-12,1,2023-01,3270674,3094384,94.61
2022-12,2,2023-02,3270674,3003787,91.84
2022-12,3,2023-03,3270674,2931505,89.63
