financial_date_key,year_month,subscription_revenue_m_usd,advertising_revenue_m_usd,total_revenue_m_usd,content_amortization_m_usd,technology_development_m_usd,marketing_expense_m_usd,general_admin_expense_m_usd,total_operating_expenses_m_usd,operating_income_m_usd,operating_margin_pct,free_cash_flow_m_usd
20220801,2022-08,2894.68,0.0,2894.68,1435.76,246.05,225.79,130.26,2037.86,856.82,29.6,247.56
20220901,2022-09,2929.42,0.0,2929.42,1452.99,249.0,228.49,131.82,2062.3,867.12,29.6,232.38
20221001,2022-10,2964.58,0.0,2964.58,1470.43,251.99,281.64,133.41,2137.47,827.11,27.9,262.42
20221101,2022-11,3017.93,78.07,3096.0,1535.62,263.16,294.12,139.32,2232.22,863.78,27.9,243.39
20221201,2022-12,3072.26,96.61,3168.87,1571.76,269.35,301.04,142.6,2284.75,884.12,27.9,366.66
20230101,2023-01,3109.14,115.11,3224.25,1521.85,274.06,251.49,145.09,2192.49,1031.76,32.0,452.61
20230201,2023-02,3146.44,134.05,3280.5,1548.4,278.84,255.88,147.62,2230.74,1049.76,32.0,393.07
20230301,2023-03,3184.19,153.43,3337.62,1575.36,283.7,260.33,150.19,2269.58,1068.04,32.0,465.26
20230401,2023-04,3209.67,172.56,3382.23,1596.41,287.49,263.81,152.2,2299.91,1082.32,32.0,409.08
20230501,2023-05,3273.85,194.27,3468.14,1636.96,294.79,270.51,156.07,2358.33,1109.81,32.0,444.14
20230601,2023-06,3352.44,217.64,3570.07,1685.07,303.46,278.47,160.65,2427.65,1142.42,32.0,465.03
20230701,2023-07,3432.88,242.01,3674.92,1734.56,312.37,286.64,165.37,2498.94,1175.98,32.0,463.18
20230801,2023-08,3515.29,267.43,3782.72,1785.44,321.53,295.05,170.22,2572.24,1210.48,32.0,504.97
20230901,2023-09,3599.65,293.93,3893.59,1837.77,330.96,303.7,175.21,2647.64,1245.95,32.0,506.66
20231001,2023-10,3907.21,321.56,4228.77,1995.98,359.45,401.73,190.29,2947.45,1281.32,30.3,524.62
20231101,2023-11,4024.42,352.38,4376.81,2065.85,372.03,415.8,196.96,3050.64,1326.17,30.3,530.23
20231201,2023-12,4145.16,384.78,4529.93,2138.13,385.04,430.34,203.85,3157.36,1372.57,30.3,715.61
20240101,2024-01,4194.6,411.33,4605.95,2063.47,391.51,359.26,207.27,3021.51,1584.44,34.4,787.87
20240201,2024-02,4244.67,438.47,4683.13,2098.04,398.07,365.28,210.74,3072.13,1611.0,34.4,781.11
20240301,2024-03,4295.34,466.17,4761.5,2133.15,404.73,371.4,214.27,3123.55,1637.95,34.4,807.22
20240401,2024-04,4329.45,492.5,4821.95,2160.23,409.87,376.11,216.99,3163.2,1658.75,34.4,872.02
20240501,2024-05,4363.84,519.21,4883.05,2187.61,415.06,380.88,219.74,3203.29,1679.76,34.4,914.43
20240601,2024-06,4415.96,548.47,4964.44,2224.07,421.98,387.23,223.4,3256.68,1707.76,34.4,925.47
20240701,2024-07,4468.73,578.36,5047.08,2261.09,429.0,393.67,227.12,3310.88,1736.2,34.4,952.58
20240801,2024-08,4522.14,608.86,5131.0,2298.69,436.14,400.22,230.89,3365.94,1765.06,34.4,937.39
20240901,2024-09,4576.2,640.0,5216.19,2336.85,443.38,406.86,234.73,3421.82,1794.37,34.4,939.56
20241001,2024-10,4630.92,671.77,5302.7,2375.61,450.73,503.76,238.62,3568.72,1733.98,32.7,975.42
20241101,2024-11,4902.66,708.39,5611.04,2513.75,476.94,533.05,252.5,3776.24,1834.8,32.7,1049.74
20241201,2024-12,4990.72,746.1,5736.81,2570.09,487.63,545.0,258.16,3860.88,1875.93,32.7,1236.55
20250101,2025-01,5050.45,780.27,5830.72,2472.23,495.61,454.8,262.38,3685.02,2145.7,36.8,1235.53
20250201,2025-02,5110.88,815.17,5926.06,2512.65,503.72,462.23,266.67,3745.27,2180.79,36.8,1370.96
20250301,2025-03,5172.08,850.76,6022.85,2553.69,511.94,469.78,271.03,3806.44,2216.41,36.8,1409.8
20250401,2025-04,5213.33,883.57,6096.9,2585.09,518.24,475.56,274.36,3853.25,2243.65,36.8,1264.54
20250501,2025-05,5254.91,914.44,6169.36,2615.81,524.4,481.21,277.62,3899.04,2270.32,36.8,1448.8
20250601,2025-06,5317.86,925.14,6243.0,2647.03,530.66,486.95,280.94,3945.58,2297.42,36.8,1304.54
20250701,2025-07,5381.6,935.96,6317.56,2678.65,536.99,492.77,284.29,3992.7,2324.86,36.8,1436.99
20250801,2025-08,5446.11,946.91,6393.02,2710.64,543.41,498.66,287.69,4040.4,2352.62,36.8,1313.25
20250901,2025-09,5511.39,958.0,6469.39,2743.02,549.9,504.61,291.12,4088.65,2380.74,36.8,1469.47
20251001,2025-10,5577.49,969.21,6546.7,2775.8,556.47,621.94,294.6,4248.81,2297.89,35.1,1371.41
20251101,2025-11,5677.86,986.38,6664.22,2825.63,566.46,633.1,299.89,4325.08,2339.14,35.1,1539.05
20251201,2025-12,5780.05,1003.85,6783.89,2876.37,576.63,644.47,305.28,4402.75,2381.14,35.1,1621.92
