performance_date_key,year_month,content_id,monthly_hours_viewed_m,monthly_views_m,completion_rate_pct,repeat_view_share_pct,monthly_amortization_usd_m,content_roi_multiplier
20230701,2023-07,1,10.56,1.47,72.0,8.2,0.59,5.21
20230801,2023-08,1,9.76,1.36,72.0,16.8,0.59,5.29
20230901,2023-09,1,9.69,1.35,72.0,12.5,0.59,5.37
20231001,2023-10,1,10.03,1.39,72.0,22.5,0.59,5.46
20231101,2023-11,1,8.83,1.23,72.0,14.9,0.59,5.53
20231201,2023-12,1,9.45,1.31,72.0,22.6,0.59,5.61
20240101,2024-01,1,8.67,1.2,72.0,12.4,0.59,5.68
20240201,2024-02,1,9.16,1.27,72.0,10.3,0.59,5.76
20240301,2024-03,1,8.4,1.17,72.0,22.7,0.59,5.83
20240401,2024-04,1,8.49,1.18,72.0,20.3,0.0,5.9
20240501,2024-05,1,8.39,1.17,72.0,19.8,0.0,5.97
20240601,2024-06,1,8.26,1.15,72.0,15.8,0.0,6.04
20240701,2024-07,1,8.32,1.16,72.0,22.8,0.0,6.11
20240801,2024-08,1,9.13,1.27,72.0,10.1,0.0,6.19
20240901,2024-09,1,8.9,1.24,72.0,18.8,0.0,6.26
20241001,2024-10,1,8.24,1.14,72.0,21.0,0.0,6.33
20241101,2024-11,1,9.71,1.35,72.0,21.3,0.0,6.41
20241201,2024-12,1,8.08,1.12,72.0,20.0,0.0,6.48
20250101,2025-01,1,8.04,1.12,72.0,9.6,0.0,6.55
20250201,2025-02,1,10.24,1.42,72.0,15.6,0.0,6.64
20250301,2025-03,1,8.85,1.23,72.0,20.2,0.0,6.71
20250401,2025-04,1,9.65,1.34,72.0,16.7,0.0,6.79
20250501,2025-05,1,9.19,1.28,72.0,11.9,0.0,6.87
20250601,2025-06,1,8.78,1.22,72.0,12.1,0.0,6.94
20250701,2025-07,1,8.98,1.25,72.0,13.9,0.0,7.02
20250801,2025-08,1,9.59,1.33,72.0,22.3,0.0,7.1
20250901,2025-09,1,8.89,1.23,72.0,20.9,0.0,7.17
20251001,2025-10,1,10.29,1.43,72.0,16.5,0.0,7.26
20251101,2025-11,1,9.68,1.34,72.0,14.8,0.0,7.34
20251201,2025-12,1,8.32,1.16,72.0,14.0,0.0,7.41
20220401,2022-04,2,2809.2,390.17,89.4,23.4,7.5,1.87
20220501,2022-05,2,1794.34,249.21,88.3,16.9,7.5,3.07
20220601,2022-06,2,533.77,74.13,79.4,18.0,7.5,3.42
20220701,2022-07,2,434.98,60.41,79.4,22.8,7.5,3.71
20220801,2022-08,2,366.17,50.86,79.4,12.1,7.5,3.96
20220901,2022-09,2,340.85,47.34,79.4,8.3,7.5,4.19
20221001,2022-10,2,271.48,37.71,79.4,8.5,7.5,4.37
20221101,2022-11,2,156.45,21.73,73.0,18.7,7.5,4.47
20221201,2022-12,2,146.36,20.33,73.0,15.8,7.5,4.57
20230101,2023-01,2,176.21,24.47,73.0,10.8,7.5,4.69
20230201,2023-02,2,149.7,20.79,73.0,22.1,7.5,4.79
20230301,2023-03,2,136.44,18.95,73.0,8.2,7.5,4.88
20230401,2023-04,2,162.27,22.54,73.0,9.9,7.5,4.99
20230501,2023-05,2,174.84,24.28,73.0,17.5,7.5,5.1
20230601,2023-06,2,167.23,23.23,73.0,14.3,7.5,5.21
20230701,2023-07,2,148.92,20.68,73.0,11.5,7.5,5.31
20230801,2023-08,2,162.78,22.61,73.0,13.6,7.5,5.42
20230901,2023-09,2,167.0,23.19,73.0,17.2,7.5,5.53
20231001,2023-10,2,149.92,20.82,73.0,21.2,7.5,5.63
20231101,2023-11,2,161.32,22.41,73.0,10.6,7.5,5.74
20231201,2023-12,2,160.76,22.33,73.0,10.7,7.5,5.85
20240101,2024-01,2,134.24,18.64,73.0,13.7,7.5,5.94
20240201,2024-02,2,137.36,19.08,73.0,12.1,7.5,6.03
20240301,2024-03,2,177.23,24.62,73.0,20.7,7.5,6.15
20240401,2024-04,2,159.15,22.1,73.0,14.5,7.5,6.25
20240501,2024-05,2,163.19,22.67,73.0,23.8,7.5,6.36
20240601,2024-06,2,151.67,21.07,73.0,12.4,7.5,6.46
20240701,2024-07,2,171.55,23.83,73.0,15.6,7.5,6.58
20240801,2024-08,2,167.77,23.3,73.0,21.1,7.5,6.69
20240901,2024-09,2,178.05,24.73,73.0,18.1,7.5,6.81
20241001,2024-10,2,142.71,19.82,73.0,22.2,7.5,6.9
20241101,2024-11,2,164.78,22.89,73.0,22.3,7.5,7.01
20241201,2024-12,2,169.19,23.5,73.0,21.8,7.5,7.13
20250101,2025-01,2,144.06,20.01,73.0,12.0,7.5,7.22
20250201,2025-02,2,151.27,21.01,73.0,12.7,7.5,7.32
20250301,2025-03,2,152.82,21.22,73.0,9.7,7.5,7.42
20250401,2025-04,2,166.57,23.13,73.0,20.9,0.0,7.54
20250501,2025-05,2,177.82,24.7,73.0,10.4,0.0,7.65
20250601,2025-06,2,142.75,19.83,73.0,12.6,0.0,7.75
20250701,2025-07,2,164.1,22.79,73.0,20.3,0.0,7.86
20250801,2025-08,2,175.7,24.4,73.0,21.6,0.0,7.98
20250901,2025-09,2,148.75,20.66,73.0,16.5,0.0,8.07
20251001,2025-10,2,139.43,19.37,73.0,12.4,0.0,8.17
20251101,2025-11,2,165.61,23.0,73.0,13.4,0.0,8.28
20251201,2025-12,2,146.28,20.32,73.0,11.1,0.0,8.38
20221001,2022-10,3,301.49,47.11,87.6,13.2,0.97,1.55
20221101,2022-11,3,160.46,25.07,80.3,12.0,0.97,2.38
20221201,2022-12,3,74.61,11.66,78.2,18.2,0.97,2.76
20230101,2023-01,3,48.27,7.54,78.2,9.7,0.97,3.01
20230201,2023-02,3,50.21,7.85,78.2,20.5,0.97,3.27
20230301,2023-03,3,39.43,6.16,78.2,11.8,0.97,3.47
20230401,2023-04,3,37.86,5.92,78.2,15.8,0.97,3.66
20230501,2023-05,3,16.7,2.61,72.2,19.0,0.97,3.75
20230601,2023-06,3,14.94,2.33,72.2,14.0,0.97,3.83
20230701,2023-07,3,13.68,2.14,72.2,13.0,0.97,3.9
20230801,2023-08,3,14.88,2.33,72.2,13.7,0.97,3.97
20230901,2023-09,3,17.43,2.72,72.2,20.8,0.97,4.06
20231001,2023-10,3,13.58,2.12,72.2,20.8,0.97,4.13
20231101,2023-11,3,14.91,2.33,72.2,13.0,0.97,4.21
20231201,2023-12,3,17.07,2.67,72.2,12.0,0.97,4.3
20240101,2024-01,3,17.52,2.74,72.2,10.1,0.97,4.39
20240201,2024-02,3,16.09,2.51,72.2,13.6,0.97,4.47
20240301,2024-03,3,17.21,2.69,72.2,20.3,0.97,4.56
20240401,2024-04,3,17.33,2.71,72.2,20.1,0.97,4.65
20240501,2024-05,3,14.23,2.22,72.2,12.9,0.97,4.72
20240601,2024-06,3,15.61,2.44,72.2,13.1,0.97,4.8
20240701,2024-07,3,17.44,2.73,72.2,22.0,0.97,4.89
20240801,2024-08,3,15.35,2.4,72.2,22.4,0.97,4.97
20240901,2024-09,3,17.53,2.74,72.2,18.5,0.97,5.06
20241001,2024-10,3,13.61,2.13,72.2,17.5,0.97,5.13
20241101,2024-11,3,13.66,2.13,72.2,22.6,0.97,5.2
20241201,2024-12,3,15.28,2.39,72.2,13.0,0.97,5.28
20250101,2025-01,3,16.23,2.54,72.2,22.1,0.97,5.36
20250201,2025-02,3,16.01,2.5,72.2,12.3,0.97,5.44
20250301,2025-03,3,17.22,2.69,72.2,12.2,0.97,5.53
20250401,2025-04,3,15.65,2.45,72.2,8.7,0.97,5.61
20250501,2025-05,3,16.51,2.58,72.2,19.7,0.97,5.7
20250601,2025-06,3,17.12,2.67,72.2,16.9,0.97,5.79
20250701,2025-07,3,15.13,2.36,72.2,19.9,0.97,5.86
20250801,2025-08,3,13.87,2.17,72.2,22.9,0.97,5.94
20250901,2025-09,3,18.15,2.84,72.2,14.4,0.97,6.03
20251001,2025-10,3,15.58,2.43,72.2,21.4,0.0,6.11
20251101,2025-11,3,16.33,2.55,72.2,12.2,0.0,6.19
20251201,2025-12,3,17.23,2.69,72.2,15.3,0.0,6.28
20210901,2021-09,4,1018.44,565.8,87.8,20.6,5.56,0.92
20211001,2021-10,4,509.64,283.13,79.9,15.2,5.56,1.38
20211101,2021-11,4,205.84,114.36,74.6,22.2,5.56,1.56
20211201,2021-12,4,201.91,112.17,74.6,12.5,5.56,1.74
20220101,2022-01,4,176.73,98.18,74.6,16.3,5.56,1.9
20220201,2022-02,4,132.0,73.33,74.6,14.6,5.56,2.02
20220301,2022-03,4,121.43,67.46,74.6,20.4,5.56,2.13
20220401,2022-04,4,37.75,20.97,69.5,21.6,5.56,2.16
20220501,2022-05,4,40.99,22.77,69.5,21.6,5.56,2.2
20220601,2022-06,4,40.17,22.32,69.5,16.5,5.56,2.24
20220701,2022-07,4,38.22,21.23,69.5,11.3,5.56,2.27
20220801,2022-08,4,34.59,19.22,69.5,19.9,5.56,2.3
20220901,2022-09,4,31.43,17.46,69.5,15.2,5.56,2.33
20221001,2022-10,4,40.57,22.54,69.5,19.6,5.56,2.37
20221101,2022-11,4,36.16,20.09,69.5,22.2,5.56,2.4
20221201,2022-12,4,33.88,18.82,69.5,20.5,5.56,2.43
20230101,2023-01,4,41.78,23.21,69.5,12.0,5.56,2.47
20230201,2023-02,4,40.72,22.62,69.5,18.4,5.56,2.5
20230301,2023-03,4,37.43,20.79,69.5,19.0,5.56,2.54
20230401,2023-04,4,35.26,19.59,69.5,19.7,5.56,2.57
20230501,2023-05,4,38.73,21.52,69.5,11.8,5.56,2.6
20230601,2023-06,4,40.35,22.42,69.5,13.5,5.56,2.64
20230701,2023-07,4,35.14,19.52,69.5,19.0,5.56,2.67
20230801,2023-08,4,36.19,20.11,69.5,8.0,5.56,2.7
20230901,2023-09,4,36.51,20.28,69.5,9.6,5.56,2.74
20231001,2023-10,4,34.24,19.02,69.5,15.5,5.56,2.77
20231101,2023-11,4,38.64,21.47,69.5,16.8,5.56,2.8
20231201,2023-12,4,32.73,18.18,69.5,10.7,5.56,2.83
20240101,2024-01,4,37.64,20.91,69.5,20.6,5.56,2.87
20240201,2024-02,4,36.69,20.38,69.5,22.0,5.56,2.9
20240301,2024-03,4,38.0,21.11,69.5,18.2,5.56,2.93
20240401,2024-04,4,32.42,18.01,69.5,22.7,5.56,2.96
20240501,2024-05,4,40.72,22.62,69.5,17.0,5.56,3.0
20240601,2024-06,4,39.28,21.82,69.5,19.2,5.56,3.03
20240701,2024-07,4,34.36,19.09,69.5,20.9,5.56,3.07
20240801,2024-08,4,35.85,19.92,69.5,20.4,5.56,3.1
20240901,2024-09,4,38.66,21.48,69.5,14.2,0.0,3.13
20241001,2024-10,4,38.41,21.34,69.5,14.5,0.0,3.17
20241101,2024-11,4,36.63,20.35,69.5,20.9,0.0,3.2
20241201,2024-12,4,36.1,20.06,69.5,17.6,0.0,3.23
20250101,2025-01,4,34.04,18.91,69.5,21.8,0.0,3.26
20250201,2025-02,4,33.6,18.67,69.5,21.9,0.0,3.29
20250301,2025-03,4,33.43,18.57,69.5,21.4,0.0,3.32
20250401,2025-04,4,31.4,17.44,69.5,19.2,0.0,3.35
20250501,2025-05,4,39.98,22.21,69.5,19.3,0.0,3.39
20250601,2025-06,4,40.88,22.71,69.5,23.0,0.0,3.43
20250701,2025-07,4,32.43,18.02,69.5,17.2,0.0,3.45
20250801,2025-08,4,35.32,19.62,69.5,23.8,0.0,3.49
20250901,2025-09,4,34.98,19.43,69.5,19.8,0.0,3.52
20251001,2025-10,4,31.98,17.77,69.5,19.4,0.0,3.55
20251101,2025-11,4,39.34,21.86,69.5,22.9,0.0,3.58
20251201,2025-12,4,42.01,23.34,69.5,20.0,0.0,3.62
20221101,2022-11,5,288.1,160.06,81.1,14.3,1.11,1.3
20221201,2022-12,5,155.57,86.43,81.1,23.2,1.11,2.0
20230101,2023-01,5,54.38,30.21,76.2,18.7,1.11,2.24
20230201,2023-02,5,41.65,23.14,76.2,22.2,1.11,2.43
20230301,2023-03,5,45.92,25.51,76.2,12.0,1.11,2.64
20230401,2023-04,5,30.83,17.13,76.2,18.5,1.11,2.77
20230501,2023-05,5,31.62,17.57,76.2,11.1,1.11,2.92
20230601,2023-06,5,10.62,5.9,70.7,11.2,1.11,2.96
20230701,2023-07,5,12.16,6.76,70.7,17.3,1.11,3.02
20230801,2023-08,5,12.98,7.21,70.7,20.8,1.11,3.08
20230901,2023-09,5,10.44,5.8,70.7,15.4,1.11,3.12
20231001,2023-10,5,11.5,6.39,70.7,12.9,1.11,3.18
20231101,2023-11,5,10.16,5.64,70.7,20.2,1.11,3.22
20231201,2023-12,5,10.91,6.06,70.7,23.1,1.11,3.27
20240101,2024-01,5,10.78,5.99,70.7,8.5,1.11,3.32
20240201,2024-02,5,12.06,6.7,70.7,10.2,1.11,3.37
20240301,2024-03,5,10.01,5.56,70.7,22.1,1.11,3.42
20240401,2024-04,5,12.93,7.18,70.7,22.9,1.11,3.48
20240501,2024-05,5,10.02,5.57,70.7,20.8,1.11,3.52
20240601,2024-06,5,11.69,6.49,70.7,22.8,1.11,3.57
20240701,2024-07,5,12.83,7.13,70.7,14.6,1.11,3.63
20240801,2024-08,5,10.29,5.72,70.7,14.6,1.11,3.68
20240901,2024-09,5,11.21,6.23,70.7,15.0,1.11,3.73
20241001,2024-10,5,10.88,6.04,70.7,19.9,1.11,3.78
20241101,2024-11,5,11.02,6.12,70.7,10.6,1.11,3.83
20241201,2024-12,5,12.58,6.99,70.7,13.2,1.11,3.88
20250101,2025-01,5,10.79,5.99,70.7,22.8,1.11,3.93
20250201,2025-02,5,10.01,5.56,70.7,13.6,1.11,3.98
20250301,2025-03,5,13.0,7.22,70.7,19.5,1.11,4.04
20250401,2025-04,5,11.6,6.44,70.7,11.4,1.11,4.09
20250501,2025-05,5,9.73,5.41,70.7,15.9,1.11,4.13
20250601,2025-06,5,10.02,5.57,70.7,8.9,1.11,4.18
20250701,2025-07,5,11.52,6.4,70.7,17.2,1.11,4.23
20250801,2025-08,5,11.56,6.42,70.7,18.0,1.11,4.28
20250901,2025-09,5,11.72,6.51,70.7,12.5,1.11,4.33
20251001,2025-10,5,11.72,6.51,70.7,12.4,1.11,4.39
20251101,2025-11,5,9.95,5.53,70.7,21.4,0.0,4.43
20251201,2025-12,5,11.41,6.34,70.7,17.3,0.0,4.48
20220501,2022-05,6,1411.31,88.21,89.4,18.4,3.61,1.95
20220601,2022-06,6,733.36,45.84,85.3,9.2,3.61,2.97
20220701,2022-07,6,263.63,16.48,79.2,16.0,3.61,3.33
20220801,2022-08,6,201.6,12.6,79.2,14.9,3.61,3.61
20220901,2022-09,6,225.57,14.1,79.2,12.8,3.61,3.93
20221001,2022-10,6,173.83,10.86,79.2,17.4,3.61,4.17
20221101,2022-11,6,161.47,10.09,79.2,9.7,3.61,4.39
20221201,2022-12,6,65.81,4.11,72.9,19.6,3.61,4.48
20230101,2023-01,6,80.1,5.01,72.9,12.8,3.61,4.59
20230201,2023-02,6,78.76,4.92,72.9,9.2,3.61,4.7
20230301,2023-03,6,67.71,4.23,72.9,10.1,3.61,4.8
20230401,2023-04,6,81.62,5.1,72.9,8.6,3.61,4.91
20230501,2023-05,6,75.49,4.72,72.9,13.3,3.61,5.01
20230601,2023-06,6,80.93,5.06,72.9,17.3,3.61,5.12
20230701,2023-07,6,77.44,4.84,72.9,21.3,3.61,5.23
20230801,2023-08,6,79.64,4.98,72.9,18.6,3.61,5.34
20230901,2023-09,6,70.49,4.41,72.9,12.8,3.61,5.44
20231001,2023-10,6,74.05,4.63,72.9,16.1,3.61,5.54
20231101,2023-11,6,79.39,4.96,72.9,10.0,3.61,5.65
20231201,2023-12,6,76.72,4.79,72.9,10.3,3.61,5.76
20240101,2024-01,6,62.24,3.89,72.9,14.2,3.61,5.84
20240201,2024-02,6,76.65,4.79,72.9,18.6,3.61,5.95
20240301,2024-03,6,77.3,4.83,72.9,8.3,3.61,6.06
20240401,2024-04,6,68.53,4.28,72.9,16.3,3.61,6.15
20240501,2024-05,6,62.47,3.9,72.9,11.2,3.61,6.24
20240601,2024-06,6,75.52,4.72,72.9,18.6,3.61,6.34
20240701,2024-07,6,80.57,5.04,72.9,11.2,3.61,6.46
20240801,2024-08,6,62.96,3.94,72.9,9.9,3.61,6.54
20240901,2024-09,6,69.79,4.36,72.9,18.5,3.61,6.64
20241001,2024-10,6,71.43,4.46,72.9,15.7,3.61,6.74
20241101,2024-11,6,63.3,3.96,72.9,21.4,3.61,6.83
20241201,2024-12,6,65.12,4.07,72.9,16.8,3.61,6.92
20250101,2025-01,6,80.93,5.06,72.9,22.9,3.61,7.03
20250201,2025-02,6,70.9,4.43,72.9,14.0,3.61,7.13
20250301,2025-03,6,65.0,4.06,72.9,8.1,3.61,7.22
20250401,2025-04,6,77.27,4.83,72.9,17.5,3.61,7.32
20250501,2025-05,6,81.46,5.09,72.9,16.1,0.0,7.44
20250601,2025-06,6,66.52,4.16,72.9,20.0,0.0,7.53
20250701,2025-07,6,82.47,5.15,72.9,11.9,0.0,7.64
20250801,2025-08,6,74.55,4.66,72.9,19.9,0.0,7.75
20250901,2025-09,6,72.61,4.54,72.9,20.0,0.0,7.85
20251001,2025-10,6,68.51,4.28,72.9,18.0,0.0,7.94
20251101,2025-11,6,66.71,4.17,72.9,22.5,0.0,8.03
20251201,2025-12,6,76.18,4.76,72.9,17.7,0.0,8.14
20220301,2022-03,7,1140.36,89.09,87.0,12.0,3.89,1.47
20220401,2022-04,7,651.67,50.91,78.2,8.8,3.89,2.3
20220501,2022-05,7,227.16,17.75,76.8,21.5,3.89,2.6
20220601,2022-06,7,166.37,13.0,76.8,20.1,3.89,2.81
20220701,2022-07,7,153.22,11.97,76.8,17.4,3.89,3.01
20220801,2022-08,7,112.23,8.77,76.8,19.4,3.89,3.15
20220901,2022-09,7,112.41,8.78,76.8,9.2,3.89,3.3
20221001,2022-10,7,42.68,3.33,71.1,15.9,3.89,3.35
20221101,2022-11,7,42.73,3.34,71.1,22.6,3.89,3.41
20221201,2022-12,7,41.01,3.2,71.1,15.0,3.89,3.46
20230101,2023-01,7,52.21,4.08,71.1,8.0,3.89,3.53
20230201,2023-02,7,48.2,3.77,71.1,20.8,3.89,3.59
20230301,2023-03,7,51.33,4.01,71.1,20.8,3.89,3.65
20230401,2023-04,7,39.59,3.09,71.1,15.1,3.89,3.7
20230501,2023-05,7,41.01,3.2,71.1,9.3,3.89,3.76
20230601,2023-06,7,39.56,3.09,71.1,15.3,3.89,3.81
20230701,2023-07,7,50.49,3.94,71.1,11.3,3.89,3.87
20230801,2023-08,7,46.09,3.6,71.1,16.7,3.89,3.93
20230901,2023-09,7,44.98,3.51,71.1,13.3,3.89,3.99
20231001,2023-10,7,41.36,3.23,71.1,19.3,3.89,4.04
20231101,2023-11,7,49.06,3.83,71.1,16.9,3.89,4.11
20231201,2023-12,7,48.52,3.79,71.1,21.3,3.89,4.17
20240101,2024-01,7,49.14,3.84,71.1,23.1,3.89,4.23
20240201,2024-02,7,49.66,3.88,71.1,12.0,3.89,4.3
20240301,2024-03,7,48.07,3.76,71.1,16.0,3.89,4.36
20240401,2024-04,7,44.43,3.47,71.1,11.8,3.89,4.41
20240501,2024-05,7,50.53,3.95,71.1,8.5,3.89,4.48
20240601,2024-06,7,39.71,3.1,71.1,23.4,3.89,4.53
20240701,2024-07,7,40.99,3.2,71.1,22.7,3.89,4.58
20240801,2024-08,7,51.95,4.06,71.1,8.0,3.89,4.65
20240901,2024-09,7,46.76,3.65,71.1,17.6,3.89,4.71
20241001,2024-10,7,43.55,3.4,71.1,15.3,3.89,4.77
20241101,2024-11,7,51.14,4.0,71.1,14.0,3.89,4.83
20241201,2024-12,7,48.6,3.8,71.1,20.5,3.89,4.89
20250101,2025-01,7,40.22,3.14,71.1,20.1,3.89,4.95
20250201,2025-02,7,40.17,3.14,71.1,18.7,3.89,5.0
20250301,2025-03,7,49.33,3.85,71.1,11.3,0.0,5.06
20250401,2025-04,7,52.48,4.1,71.1,14.8,0.0,5.13
20250501,2025-05,7,48.72,3.81,71.1,16.7,0.0,5.19
20250601,2025-06,7,39.54,3.09,71.1,21.6,0.0,5.24
20250701,2025-07,7,39.22,3.06,71.1,8.7,0.0,5.29
20250801,2025-08,7,51.37,4.01,71.1,19.4,0.0,5.36
20250901,2025-09,7,52.94,4.14,71.1,8.5,0.0,5.43
20251001,2025-10,7,52.61,4.11,71.1,19.9,0.0,5.49
20251101,2025-11,7,49.5,3.87,71.1,11.7,0.0,5.56
20251201,2025-12,7,50.88,3.98,71.1,11.4,0.0,5.62
20220801,2022-08,8,284.64,29.65,84.2,21.2,1.25,1.14
20220901,2022-09,8,172.07,17.92,78.4,8.7,1.25,1.83
20221001,2022-10,8,54.2,5.65,75.6,21.9,1.25,2.04
20221101,2022-11,8,45.47,4.74,75.6,14.0,1.25,2.23
20221201,2022-12,8,42.28,4.4,75.6,16.0,1.25,2.39
20230101,2023-01,8,35.19,3.67,75.6,8.8,1.25,2.54
20230201,2023-02,8,26.19,2.73,75.6,18.0,1.25,2.64
20230301,2023-03,8,11.13,1.16,70.2,22.1,1.25,2.68
20230401,2023-04,8,10.79,1.12,70.2,14.6,1.25,2.73
20230501,2023-05,8,11.74,1.22,70.2,21.1,1.25,2.77
20230601,2023-06,8,10.28,1.07,70.2,22.4,1.25,2.82
20230701,2023-07,8,10.96,1.14,70.2,15.5,1.25,2.86
20230801,2023-08,8,11.98,1.25,70.2,19.3,1.25,2.91
20230901,2023-09,8,12.27,1.28,70.2,15.7,1.25,2.96
20231001,2023-10,8,11.29,1.18,70.2,23.3,1.25,3.0
20231101,2023-11,8,11.08,1.15,70.2,19.8,1.25,3.05
20231201,2023-12,8,9.54,0.99,70.2,15.2,1.25,3.08
20240101,2024-01,8,9.48,0.99,70.2,21.0,1.25,3.12
20240201,2024-02,8,12.17,1.27,70.2,17.6,1.25,3.17
20240301,2024-03,8,9.39,0.98,70.2,8.5,1.25,3.21
20240401,2024-04,8,11.16,1.16,70.2,22.1,1.25,3.25
20240501,2024-05,8,11.3,1.18,70.2,13.0,1.25,3.3
20240601,2024-06,8,9.52,0.99,70.2,20.8,1.25,3.34
20240701,2024-07,8,10.47,1.09,70.2,19.7,1.25,3.38
20240801,2024-08,8,10.02,1.04,70.2,10.7,1.25,3.42
20240901,2024-09,8,11.72,1.22,70.2,15.2,1.25,3.47
20241001,2024-10,8,10.78,1.12,70.2,15.2,1.25,3.51
20241101,2024-11,8,10.38,1.08,70.2,12.7,1.25,3.55
20241201,2024-12,8,10.95,1.14,70.2,9.7,1.25,3.59
20250101,2025-01,8,9.95,1.04,70.2,9.6,1.25,3.63
20250201,2025-02,8,10.55,1.1,70.2,13.1,1.25,3.68
20250301,2025-03,8,11.81,1.23,70.2,8.3,1.25,3.72
20250401,2025-04,8,11.2,1.17,70.2,8.6,1.25,3.77
20250501,2025-05,8,10.38,1.08,70.2,9.6,1.25,3.81
20250601,2025-06,8,12.52,1.3,70.2,12.3,1.25,3.86
20250701,2025-07,8,10.93,1.14,70.2,12.4,1.25,3.9
20250801,2025-08,8,9.81,1.02,70.2,22.4,0.0,3.94
20250901,2025-09,8,11.83,1.23,70.2,15.9,0.0,3.99
20251001,2025-10,8,9.86,1.03,70.2,14.7,0.0,4.03
20251101,2025-11,8,9.89,1.03,70.2,22.1,0.0,4.07
20251201,2025-12,8,9.99,1.04,70.2,11.6,0.0,4.11
20230201,2023-02,9,250.85,44.79,80.9,20.6,0.83,1.51
20230301,2023-03,9,144.41,25.79,80.7,21.8,0.83,2.37
20230401,2023-04,9,40.53,7.24,77.0,19.8,0.83,2.61
20230501,2023-05,9,37.78,6.75,77.0,8.5,0.83,2.84
20230601,2023-06,9,38.28,6.84,77.0,22.8,0.83,3.07
20230701,2023-07,9,30.69,5.48,77.0,9.0,0.83,3.26
20230801,2023-08,9,24.18,4.32,77.0,17.2,0.83,3.4
20230901,2023-09,9,11.12,1.99,71.2,19.4,0.83,3.47
20231001,2023-10,9,10.28,1.84,71.2,9.5,0.83,3.53
20231101,2023-11,9,9.53,1.7,71.2,21.5,0.83,3.59
20231201,2023-12,9,9.71,1.73,71.2,21.1,0.83,3.64
20240101,2024-01,9,10.31,1.84,71.2,23.4,0.83,3.71
20240201,2024-02,9,11.08,1.98,71.2,20.2,0.83,3.77
20240301,2024-03,9,11.35,2.03,71.2,16.5,0.83,3.84
20240401,2024-04,9,10.1,1.8,71.2,8.6,0.83,3.9
20240501,2024-05,9,10.21,1.82,71.2,20.6,0.83,3.96
20240601,2024-06,9,10.69,1.91,71.2,17.2,0.83,4.03
20240701,2024-07,9,9.65,1.72,71.2,15.6,0.83,4.08
20240801,2024-08,9,9.92,1.77,71.2,15.4,0.83,4.14
20240901,2024-09,9,8.93,1.59,71.2,17.1,0.83,4.2
20241001,2024-10,9,10.91,1.95,71.2,10.6,0.83,4.26
20241101,2024-11,9,9.23,1.65,71.2,17.2,0.83,4.32
20241201,2024-12,9,9.2,1.64,71.2,10.8,0.83,4.37
20250101,2025-01,9,10.55,1.88,71.2,21.2,0.83,4.44
20250201,2025-02,9,9.76,1.74,71.2,10.7,0.83,4.5
20250301,2025-03,9,11.71,2.09,71.2,8.8,0.83,4.57
20250401,2025-04,9,10.08,1.8,71.2,19.7,0.83,4.63
20250501,2025-05,9,11.14,1.99,71.2,9.3,0.83,4.69
20250601,2025-06,9,10.23,1.83,71.2,12.0,0.83,4.75
20250701,2025-07,9,11.83,2.11,71.2,21.9,0.83,4.83
20250801,2025-08,9,10.12,1.81,71.2,12.5,0.83,4.89
20250901,2025-09,9,10.17,1.82,71.2,20.6,0.83,4.95
20251001,2025-10,9,9.34,1.67,71.2,10.7,0.83,5.0
