snapshot_date_key,year_month,region_id,paid_memberships_start_m,gross_additions_m,churned_memberships_m,net_additions_m,paid_memberships_end_m,monthly_churn_rate_pct,avg_revenue_per_membership_usd,ad_supported_memberships_m,standard_memberships_m,premium_memberships_m,subscription_revenue_m_usd,advertising_revenue_m_usd,total_streaming_revenue_m_usd
20240801,2024-08,1,124.339,4.279,2.911,1.368,125.707,2.34,16.14,35.449,49.642,31.59,2028.73,265.87,2294.6
20240901,2024-09,1,125.707,4.466,3.083,1.383,127.09,2.45,16.14,37.237,49.419,31.448,2051.04,279.28,2330.32
20241001,2024-10,1,127.09,3.824,2.426,1.398,128.488,1.91,16.14,39.06,49.185,31.3,2073.6,292.95,2366.56
20241101,2024-11,1,128.488,4.624,2.439,2.184,130.672,1.9,16.78,41.162,49.231,31.329,2193.21,308.71,2501.92
20241201,2024-12,1,130.672,5.026,2.805,2.221,132.894,2.15,16.78,43.323,49.264,31.35,2230.49,324.93,2555.42
20250101,2025-01,1,132.894,3.859,2.397,1.462,134.355,1.8,16.78,45.278,48.993,31.177,2255.03,339.58,2594.61
20250201,2025-02,1,134.355,3.699,2.221,1.478,135.833,1.65,16.78,47.27,48.71,30.997,2279.83,354.53,2634.36
20250301,2025-03,1,135.833,4.401,2.907,1.494,137.328,2.14,16.78,49.301,48.415,30.809,2304.91,369.75,2674.67
20250401,2025-04,1,137.328,3.964,3.002,0.961,138.289,2.19,16.78,51.167,47.917,30.493,2321.05,383.75,2704.8
20250501,2025-05,1,138.289,3.487,2.519,0.968,139.257,1.82,16.78,52.918,47.487,30.219,2337.29,396.88,2734.18
20250601,2025-06,1,139.257,4.858,3.326,1.532,140.789,2.39,16.78,53.5,48.009,30.551,2363.0,401.25,2764.25
20250701,2025-07,1,140.789,4.716,3.167,1.549,142.337,2.25,16.78,54.088,48.537,30.887,2389.0,405.66,2794.66
20250801,2025-08,1,142.337,4.864,3.298,1.566,143.903,2.32,16.78,54.683,49.071,31.227,2415.28,410.12,2825.4
20250901,2025-09,1,143.903,4.44,2.858,1.583,145.486,1.99,16.78,55.285,49.611,31.57,2441.84,414.64,2856.48
20251001,2025-10,1,145.486,4.81,3.209,1.6,147.086,2.21,16.78,55.893,50.156,31.918,2468.7,419.2,2887.9
20251101,2025-11,1,147.086,5.472,2.971,2.5,149.587,2.02,16.78,56.843,51.009,32.46,2510.67,426.32,2936.99
20251201,2025-12,1,149.587,5.856,3.313,2.543,152.13,2.22,16.78,57.809,51.876,33.012,2553.35,433.57,2986.92
20210101,2021-01,2,66.7,1.972,1.172,0.8,67.5,1.76,11.2,0.0,37.125,23.625,756.0,0.0,756.0
20210201,2021-02,2,67.5,2.425,1.615,0.81,68.31,2.39,11.2,0.0,37.571,23.909,765.08,0.0,765.08
20210301,2021-03,2,68.31,2.149,1.329,0.82,69.13,1.95,11.2,0.0,38.022,24.196,774.26,0.0,774.26
20210401,2021-04,2,69.13,2.229,1.676,0.553,69.683,2.42,11.2,0.0,38.326,24.389,780.45,0.0,780.45
20210501,2021-05,2,69.683,2.017,1.459,0.557,70.241,2.09,11.2,0.0,38.632,24.584,786.7,0.0,786.7
20210601,2021-06,2,70.241,2.317,1.474,0.843,71.084,2.1,11.2,0.0,39.096,24.879,796.14,0.0,796.14
20210701,2021-07,2,71.084,2.536,1.683,0.853,71.937,2.37,11.2,0.0,39.565,25.178,805.69,0.0,805.69
20210801,2021-08,2,71.937,2.242,1.378,0.863,72.8,1.92,11.2,0.0,40.04,25.48,815.36,0.0,815.36
20210901,2021-09,2,72.8,2.476,1.602,0.874,73.673,2.2,11.2,0.0,40.52,25.786,825.14,0.0,825.14
20211001,2021-10,2,73.673,2.618,1.734,0.884,74.557,2.35,11.2,0.0,41.007,26.095,835.04,0.0,835.04
20211101,2021-11,2,74.557,2.808,1.466,1.342,75.899,1.97,11.2,0.0,41.745,26.565,850.07,0.0,850.07
20211201,2021-12,2,75.899,2.9,1.534,1.366,77.266,2.02,11.2,0.0,42.496,27.043,865.38,0.0,865.38
20220101,2022-01,2,77.266,1.605,1.759,-0.155,77.111,2.28,11.76,0.0,42.411,26.989,906.83,0.0,906.83
20220201,2022-02,2,77.111,1.56,1.714,-0.154,76.957,2.22,11.76,0.0,42.326,26.935,905.01,0.0,905.01
20220301,2022-03,2,76.957,1.401,1.555,-0.154,76.803,2.02,11.76,0.0,42.242,26.881,903.2,0.0,903.2
20220401,2022-04,2,76.803,1.135,1.596,-0.461,76.342,2.08,11.76,0.0,41.988,26.72,897.78,0.0,897.78
20220501,2022-05,2,76.342,1.416,1.874,-0.458,75.884,2.45,11.76,0.0,41.736,26.559,892.4,0.0,892.4
20220601,2022-06,2,75.884,1.441,1.593,-0.152,75.732,2.1,11.76,0.0,41.653,26.506,890.61,0.0,890.61
20220701,2022-07,2,75.732,2.644,1.736,0.909,76.641,2.29,11.76,0.0,42.153,26.824,901.3,0.0,901.3
20220801,2022-08,2,76.641,2.45,1.531,0.92,77.561,2.0,11.76,0.0,42.658,27.146,912.12,0.0,912.12
20220901,2022-09,2,77.561,2.801,1.87,0.931,78.492,2.41,11.76,0.0,43.17,27.472,923.06,0.0,923.06
20221001,2022-10,2,78.492,2.612,1.67,0.942,79.433,2.13,11.76,0.0,43.688,27.802,934.14,0.0,934.14
20221101,2022-11,2,79.433,2.98,1.55,1.43,80.863,1.95,11.76,4.124,42.207,26.859,950.95,30.93,981.88
20221201,2022-12,2,80.863,3.146,1.691,1.456,82.319,2.09,11.76,5.104,42.468,27.025,968.07,38.28,1006.35
20230101,2023-01,2,82.319,2.901,1.914,0.988,83.307,2.32,11.76,6.081,42.474,27.029,979.69,45.61,1025.3
20230201,2023-02,2,83.307,2.814,1.815,1.0,84.306,2.18,11.76,7.082,42.474,27.029,991.44,53.11,1044.56
20230301,2023-03,2,84.306,2.684,1.672,1.012,85.318,1.98,11.76,8.105,42.467,27.024,1003.34,60.79,1064.13
20230401,2023-04,2,85.318,2.555,1.872,0.683,86.001,2.19,11.76,9.116,42.286,26.91,1011.37,68.37,1079.74
20230501,2023-05,2,86.001,3.606,1.886,1.72,87.721,2.19,11.76,10.263,42.601,27.11,1031.59,76.97,1108.57
20230601,2023-06,2,87.721,3.997,1.891,2.105,89.826,2.16,11.76,11.498,43.08,27.415,1056.35,86.23,1142.58
20230701,2023-07,2,89.826,4.134,1.979,2.156,91.982,2.2,11.76,12.785,43.558,27.719,1081.7,95.89,1177.6
20230801,2023-08,2,91.982,4.018,1.811,2.208,94.189,1.97,11.76,14.128,44.033,28.021,1107.67,105.96,1213.63
20230901,2023-09,2,94.189,4.163,1.903,2.261,96.45,2.02,11.76,15.528,44.507,28.322,1134.25,116.46,1250.71
20231001,2023-10,2,96.45,4.018,1.703,2.315,98.765,1.77,12.47,16.988,44.977,28.622,1231.16,127.41,1358.57
20231101,2023-11,2,98.765,5.18,2.217,2.963,101.727,2.24,12.47,18.616,45.711,29.089,1268.09,139.62,1407.72
20231201,2023-12,2,101.727,5.009,1.957,3.052,104.779,1.92,12.47,20.327,46.449,29.558,1306.14,152.45,1458.59
20240101,2024-01,2,104.779,3.296,2.143,1.153,105.932,2.05,12.47,21.716,46.319,29.476,1320.5,162.87,1483.37
20240201,2024-02,2,105.932,3.246,2.08,1.165,107.097,1.96,12.47,23.133,46.18,29.387,1335.03,173.5,1508.53
20240301,2024-03,2,107.097,3.462,2.284,1.178,108.275,2.13,12.47,24.578,46.033,29.294,1349.72,184.34,1534.05
20240401,2024-04,2,108.275,2.906,2.148,0.758,109.033,1.98,12.47,25.95,45.696,29.079,1359.16,194.62,1553.79
20240501,2024-05,2,109.033,2.949,2.185,0.763,109.796,2.0,12.47,27.339,45.351,28.86,1368.68,205.04,1573.72
20240601,2024-06,2,109.796,3.147,1.939,1.208,111.004,1.77,12.47,28.861,45.179,28.75,1383.73,216.46,1600.19
20240701,2024-07,2,111.004,3.768,2.547,1.221,112.225,2.29,12.47,30.413,44.997,28.634,1398.95,228.1,1627.05
20240801,2024-08,2,112.225,3.503,2.268,1.234,113.46,2.02,12.47,31.996,44.805,28.512,1414.34,239.97,1654.31
20240901,2024-09,2,113.46,3.652,2.404,1.248,114.708,2.12,12.47,33.609,44.604,28.384,1429.9,252.07,1681.97
20241001,2024-10,2,114.708,3.679,2.418,1.262,115.969,2.11,12.47,35.255,44.393,28.25,1445.63,264.41,1710.04
20241101,2024-11,2,115.969,4.517,2.546,1.971,117.941,2.2,12.96,37.151,44.434,28.276,1529.01,278.64,1807.65
20241201,2024-12,2,117.941,4.066,2.061,2.005,119.946,1.75,12.96,39.102,44.464,28.295,1555.01,293.27,1848.27
20250101,2025-01,2,119.946,3.736,2.417,1.319,121.265,2.01,12.96,40.866,44.219,28.14,1572.11,306.5,1878.61
20250201,2025-02,2,121.265,3.891,2.557,1.334,122.599,2.11,12.96,42.665,43.964,27.977,1589.4,319.98,1909.39
20250301,2025-03,2,122.599,3.958,2.61,1.349,123.948,2.13,12.96,44.497,43.698,27.808,1606.89,333.73,1940.62
20250401,2025-04,2,123.948,3.578,2.71,0.868,124.816,2.19,12.96,46.182,43.249,27.522,1618.14,346.36,1964.5
20250501,2025-05,2,124.816,4.293,3.419,0.874,125.689,2.74,12.96,47.762,42.86,27.275,1629.46,358.21,1987.68
20250601,2025-06,2,125.689,4.43,3.048,1.383,127.072,2.42,12.96,48.287,43.331,27.575,1647.39,362.15,2009.54
20250701,2025-07,2,127.072,3.993,2.595,1.398,128.47,2.04,12.96,48.818,43.808,27.878,1665.51,366.14,2031.65
20250801,2025-08,2,128.47,3.776,2.363,1.413,129.883,1.84,12.96,49.355,44.29,28.185,1683.83,370.17,2054.0
20250901,2025-09,2,129.883,3.969,2.54,1.429,131.311,1.96,12.96,49.898,44.777,28.495,1702.35,374.24,2076.59
20251001,2025-10,2,131.311,4.219,2.775,1.444,132.756,2.11,12.96,50.447,45.27,28.808,1721.08,378.35,2099.43
20251101,2025-11,2,132.756,4.727,2.47,2.257,135.013,1.86,12.96,51.305,46.039,29.298,1750.34,384.79,2135.12
20251201,2025-12,2,135.013,5.131,2.836,2.295,137.308,2.1,12.96,52.177,46.822,29.796,1780.09,391.33,2171.42
20210101,2021-01,3,37.5,1.33,0.88,0.45,37.95,2.35,7.6,0.0,20.873,13.283,288.42,0.0,288.42
20210201,2021-02,3,37.95,1.343,0.888,0.455,38.405,2.34,7.6,0.0,21.123,13.442,291.88,0.0,291.88
20210301,2021-03,3,38.405,1.375,0.914,0.461,38.866,2.38,7.6,0.0,21.376,13.603,295.38,0.0,295.38
20210401,2021-04,3,38.866,1.09,0.779,0.311,39.177,2.0,7.6,0.0,21.547,13.712,297.75,0.0,297.75
20210501,2021-05,3,39.177,1.307,0.994,0.313,39.491,2.54,7.6,0.0,21.72,13.822,300.13,0.0,300.13
20210601,2021-06,3,39.491,1.333,0.859,0.474,39.964,2.18,7.6,0.0,21.98,13.988,303.73,0.0,303.73
20210701,2021-07,3,39.964,1.319,0.839,0.48,40.444,2.1,7.6,0.0,22.244,14.155,307.37,0.0,307.37
20210801,2021-08,3,40.444,1.275,0.789,0.485,40.929,1.95,7.6,0.0,22.511,14.325,311.06,0.0,311.06
20210901,2021-09,3,40.929,1.344,0.853,0.491,41.421,2.08,7.6,0.0,22.781,14.497,314.8,0.0,314.8
20211001,2021-10,3,41.421,1.335,0.838,0.497,41.918,2.02,7.6,0.0,23.055,14.671,318.57,0.0,318.57
20211101,2021-11,3,41.918,1.706,0.952,0.755,42.672,2.27,7.6,0.0,23.47,14.935,324.31,0.0,324.31
20211201,2021-12,3,42.672,1.761,0.993,0.768,43.44,2.33,7.6,0.0,23.892,15.204,330.15,0.0,330.15
20220101,2022-01,3,43.44,0.906,0.776,0.13,43.571,1.79,7.98,0.0,23.964,15.25,347.69,0.0,347.69
20220201,2022-02,3,43.571,0.877,0.747,0.131,43.701,1.71,7.98,0.0,24.036,15.295,348.74,0.0,348.74
20220301,2022-03,3,43.701,0.96,0.829,0.131,43.832,1.9,7.98,0.0,24.108,15.341,349.78,0.0,349.78
20220401,2022-04,3,43.832,0.668,0.712,-0.044,43.789,1.62,7.98,0.0,24.084,15.326,349.43,0.0,349.43
20220501,2022-05,3,43.789,1.026,1.07,-0.044,43.745,2.44,7.98,0.0,24.06,15.311,349.08,0.0,349.08
20220601,2022-06,3,43.745,0.837,0.706,0.131,43.876,1.61,7.98,0.0,24.132,15.357,350.13,0.0,350.13
20220701,2022-07,3,43.876,1.487,0.96,0.527,44.402,2.19,7.98,0.0,24.421,15.541,354.33,0.0,354.33
20220801,2022-08,3,44.402,1.56,1.027,0.533,44.935,2.31,7.98,0.0,24.714,15.727,358.58,0.0,358.58
20220901,2022-09,3,44.935,1.417,0.878,0.539,45.475,1.95,7.98,0.0,25.011,15.916,362.89,0.0,362.89
20221001,2022-10,3,45.475,1.442,0.897,0.546,46.02,1.97,7.98,0.0,25.311,16.107,367.24,0.0,367.24
20221101,2022-11,3,46.02,1.808,0.98,0.828,46.849,2.13,7.98,2.389,24.453,15.561,373.85,7.65,381.5
20221201,2022-12,3,46.849,1.89,1.047,0.843,47.692,2.23,7.98,2.957,24.604,15.657,380.58,9.46,390.04
20230101,2023-01,3,47.692,1.546,0.974,0.572,48.264,2.04,7.98,3.523,24.607,15.659,385.15,11.27,396.42
20230201,2023-02,3,48.264,1.512,0.933,0.579,48.843,1.93,7.98,4.103,24.607,15.659,389.77,13.13,402.9
20230301,2023-03,3,48.843,1.505,0.919,0.586,49.429,1.88,7.98,4.696,24.604,15.657,394.45,15.03,409.47
20230401,2023-04,3,49.429,1.629,1.233,0.395,49.825,2.49,7.98,5.281,24.499,15.59,397.6,16.9,414.5
20230501,2023-05,3,49.825,1.969,0.973,0.996,50.821,1.95,7.98,5.946,24.681,15.706,405.55,19.03,424.58
20230601,2023-06,3,50.821,2.229,1.009,1.22,52.041,1.99,7.98,6.661,24.959,15.883,415.29,21.32,436.6
20230701,2023-07,3,52.041,2.522,1.273,1.249,53.29,2.45,7.98,7.407,25.236,16.059,425.25,23.7,448.96
20230801,2023-08,3,53.29,2.284,1.005,1.279,54.569,1.89,7.98,8.185,25.511,16.234,435.46,26.19,461.65
20230901,2023-09,3,54.569,2.436,1.127,1.31,55.879,2.06,7.98,8.996,25.785,16.409,445.91,28.79,474.7
20231001,2023-10,3,55.879,2.647,1.306,1.341,57.22,2.34,8.46,9.842,26.058,16.582,484.01,31.49,515.5
20231101,2023-11,3,57.22,2.903,1.187,1.717,58.936,2.07,8.46,10.785,26.483,16.853,498.53,34.51,533.04
20231201,2023-12,3,58.936,2.913,1.145,1.768,60.704,1.94,8.46,11.777,26.91,17.125,513.49,37.69,551.17
20240101,2024-01,3,60.704,2.145,1.234,0.911,61.615,2.03,8.46,12.631,26.941,17.144,521.19,40.42,561.61
20240201,2024-02,3,61.615,1.996,1.072,0.924,62.539,1.74,8.46,13.508,26.967,17.161,529.01,43.23,572.23
20240301,2024-03,3,62.539,2.189,1.251,0.938,63.477,2.0,8.46,14.409,26.987,17.174,536.94,46.11,583.05
20240401,2024-04,3,63.477,2.09,1.391,0.698,64.176,2.19,8.46,15.274,26.896,17.116,542.85,48.88,591.72
20240501,2024-05,3,64.176,1.785,1.079,0.706,64.882,1.68,8.46,16.156,26.799,17.054,548.82,51.7,600.52
20240601,2024-06,3,64.882,2.534,1.561,0.973,65.855,2.41,8.46,17.122,26.803,17.056,557.05,54.79,611.84
20240701,2024-07,3,65.855,2.477,1.489,0.988,66.843,2.26,8.46,18.114,26.801,17.055,565.41,57.97,623.37
20240801,2024-08,3,66.843,2.436,1.433,1.003,67.845,2.14,8.46,19.132,26.792,17.05,573.89,61.22,635.11
20240901,2024-09,3,67.845,2.582,1.564,1.018,68.863,2.31,8.46,20.177,26.777,17.04,582.5,64.57,647.06
20241001,2024-10,3,68.863,2.482,1.449,1.033,69.896,2.1,8.46,21.248,26.756,17.027,591.24,67.99,659.23
20241101,2024-11,3,69.896,2.852,1.385,1.468,71.364,1.98,8.8,22.48,26.886,17.109,627.8,71.93,699.73
20241201,2024-12,3,71.364,2.991,1.493,1.499,72.862,2.09,8.8,23.753,27.01,17.188,640.98,76.01,716.99
20250101,2025-01,3,72.862,2.524,1.432,1.093,73.955,1.96,8.8,24.923,26.968,17.161,650.6,79.75,730.35
20250201,2025-02,3,73.955,2.491,1.381,1.109,75.065,1.87,8.8,26.122,26.918,17.13,660.35,83.59,743.95
20250301,2025-03,3,75.065,2.668,1.542,1.126,76.191,2.05,8.8,27.352,26.861,17.093,670.26,87.53,757.79
20250401,2025-04,3,76.191,2.245,1.407,0.838,77.029,1.85,8.8,28.501,26.69,16.985,677.63,91.2,768.83
20250501,2025-05,3,77.029,2.349,1.502,0.847,77.876,1.95,8.8,29.593,26.556,16.899,685.09,94.7,779.78
20250601,2025-06,3,77.876,2.907,1.739,1.168,79.044,2.23,8.8,30.037,26.954,17.153,695.36,96.12,791.48
20250701,2025-07,3,79.044,2.553,1.368,1.186,80.23,1.73,8.8,30.487,27.358,17.41,705.79,97.56,803.35
20250801,2025-08,3,80.23,2.964,1.76,1.203,81.433,2.19,8.8,30.945,27.769,17.671,716.38,99.02,815.4
20250901,2025-09,3,81.433,2.89,1.669,1.221,82.655,2.05,8.8,31.409,28.185,17.936,727.13,100.51,827.63
20251001,2025-10,3,82.655,3.266,2.027,1.24,83.895,2.45,8.8,31.88,28.608,18.205,738.03,102.02,840.05
20251101,2025-11,3,83.895,3.305,1.543,1.762,85.656,1.84,8.8,32.549,29.209,18.587,753.53,104.16,857.69
20251201,2025-12,3,85.656,3.811,2.013,1.799,87.455,2.35,8.8,33.233,29.822,18.978,769.36,106.35,875.7
20210101,2021-01,4,25.6,0.922,0.614,0.307,25.907,2.4,9.8,0.0,14.249,9.068,253.89,0.0,253.89
20210201,2021-02,4,25.907,0.83,0.519,0.311,26.218,2.0,9.8,0.0,14.42,9.176,256.94,0.0,256.94
20210301,2021-03,4,26.218,0.862,0.548,0.315,26.533,2.09,9.8,0.0,14.593,9.286,260.02,0.0,260.02
20210401,2021-04,4,26.533,0.775,0.563,0.212,26.745,2.12,9.8,0.0,14.71,9.361,262.1,0.0,262.1
20210501,2021-05,4,26.745,0.799,0.585,0.214,26.959,2.19,9.8,0.0,14.827,9.436,264.2,0.0,264.2
20210601,2021-06,4,26.959,0.86,0.536,0.324,27.282,1.99,9.8,0.0,15.005,9.549,267.37,0.0,267.37
20210701,2021-07,4,27.282,0.918,0.591,0.327,27.61,2.16,9.8,0.0,15.185,9.663,270.58,0.0,270.58
20210801,2021-08,4,27.61,0.852,0.521,0.331,27.941,1.89,9.8,0.0,15.368,9.779,273.82,0.0,273.82
20210901,2021-09,4,27.941,0.88,0.545,0.335,28.276,1.95,9.8,0.0,15.552,9.897,277.11,0.0,277.11
20211001,2021-10,4,28.276,0.948,0.609,0.339,28.616,2.15,9.8,0.0,15.739,10.016,280.43,0.0,280.43
20211101,2021-11,4,28.616,1.107,0.592,0.515,29.131,2.07,9.8,0.0,16.022,10.196,285.48,0.0,285.48
20211201,2021-12,4,29.131,1.091,0.567,0.524,29.655,1.95,9.8,0.0,16.31,10.379,290.62,0.0,290.62
20220101,2022-01,4,29.655,0.731,0.642,0.089,29.744,2.17,10.29,0.0,16.359,10.41,306.07,0.0,306.07
20220201,2022-02,4,29.744,0.62,0.53,0.089,29.833,1.78,10.29,0.0,16.408,10.442,306.99,0.0,306.99
20220301,2022-03,4,29.833,0.781,0.692,0.09,29.923,2.32,10.29,0.0,16.458,10.473,307.91,0.0,307.91
20220401,2022-04,4,29.923,0.62,0.65,-0.03,29.893,2.17,10.29,0.0,16.441,10.463,307.6,0.0,307.6
20220501,2022-05,4,29.893,0.683,0.712,-0.03,29.863,2.38,10.29,0.0,16.425,10.452,307.29,0.0,307.29
20220601,2022-06,4,29.863,0.791,0.701,0.09,29.953,2.35,10.29,0.0,16.474,10.483,308.21,0.0,308.21
20220701,2022-07,4,29.953,1.08,0.721,0.359,30.312,2.41,10.29,0.0,16.672,10.609,311.91,0.0,311.91
20220801,2022-08,4,30.312,0.891,0.527,0.364,30.676,1.74,10.29,0.0,16.872,10.737,315.65,0.0,315.65
20220901,2022-09,4,30.676,0.965,0.597,0.368,31.044,1.95,10.29,0.0,17.074,10.865,319.44,0.0,319.44
20221001,2022-10,4,31.044,1.031,0.659,0.373,31.416,2.12,10.29,0.0,17.279,10.996,323.28,0.0,323.28
20221101,2022-11,4,31.416,1.307,0.742,0.565,31.982,2.36,10.29,1.631,16.693,10.623,329.09,5.22,334.31
20221201,2022-12,4,31.982,1.31,0.734,0.576,32.558,2.3,10.29,2.019,16.796,10.689,335.02,6.46,341.48
20230101,2023-01,4,32.558,1.06,0.669,0.391,32.948,2.05,10.29,2.405,16.799,10.69,339.04,7.7,346.74
20230201,2023-02,4,32.948,1.091,0.696,0.395,33.344,2.11,10.29,2.801,16.799,10.69,343.11,8.96,352.07
20230301,2023-03,4,33.344,1.062,0.661,0.4,33.744,1.98,10.29,3.206,16.796,10.688,347.22,10.26,357.48
20230401,2023-04,4,33.744,0.856,0.586,0.27,34.014,1.74,10.29,3.605,16.725,10.643,350.0,11.54,361.54
20230501,2023-05,4,34.014,1.26,0.58,0.68,34.694,1.7,10.29,4.059,16.849,10.722,357.0,12.99,369.99
20230601,2023-06,4,34.694,1.68,0.847,0.833,35.527,2.44,10.29,4.547,17.039,10.843,365.57,14.55,380.12
20230701,2023-07,4,35.527,1.571,0.718,0.853,36.379,2.02,10.29,5.057,17.227,10.963,374.34,16.18,390.53
20230801,2023-08,4,36.379,1.738,0.865,0.873,37.252,2.38,10.29,5.588,17.416,11.083,383.33,17.88,401.21
20230901,2023-09,4,37.252,1.607,0.713,0.894,38.147,1.91,10.29,6.142,17.603,11.202,392.53,19.65,412.18
