date_key,full_date,total_stream_hours_m,peak_concurrent_streams_m,uhd_4k_share_pct,hdr_share_pct,rebuffer_ratio_pct,avg_bitrate_mbps,non_english_stream_share_pct
20210417,2021-04-17,582.4,70.22,18.29,13.17,0.285,11.92,32.0
20210418,2021-04-18,583.93,70.62,17.02,12.25,0.325,11.71,32.0
20210419,2021-04-19,433.35,53.86,18.45,13.28,0.292,11.43,32.0
20210420,2021-04-20,426.28,51.65,17.46,12.57,0.306,11.84,32.0
20210421,2021-04-21,410.32,51.14,17.75,12.78,0.24,11.37,32.0
20210422,2021-04-22,435.97,56.34,18.2,13.1,0.254,11.74,32.0
20210423,2021-04-23,470.27,59.98,17.77,12.79,0.259,11.39,32.0
20210424,2021-04-24,544.25,67.52,18.26,13.15,0.285,11.28,32.0
20210425,2021-04-25,564.9,73.54,17.78,12.8,0.269,11.67,32.0
20210426,2021-04-26,421.0,51.09,17.88,12.87,0.265,11.46,32.0
20210427,2021-04-27,435.84,56.07,17.85,12.85,0.269,11.93,32.0
20210428,2021-04-28,411.9,50.51,17.35,12.49,0.286,11.47,32.0
20210429,2021-04-29,429.51,52.38,17.45,12.56,0.26,11.39,32.0
20210430,2021-04-30,486.57,60.72,17.78,12.8,0.269,11.42,32.0
20210501,2021-05-01,570.84,69.37,18.37,13.23,0.296,11.36,32.0
20210502,2021-05-02,553.77,68.82,19.12,13.77,0.315,11.62,32.0
20210503,2021-05-03,438.18,52.16,18.59,13.38,0.277,11.28,32.0
20210504,2021-05-04,443.13,55.31,18.32,13.19,0.247,11.52,32.0
20210505,2021-05-05,418.99,51.25,17.9,12.89,0.27,11.14,32.0
20210506,2021-05-06,422.3,50.23,19.16,13.8,0.276,11.66,32.0
20210507,2021-05-07,459.66,59.89,18.03,12.98,0.318,11.28,32.0
20210508,2021-05-08,560.42,71.34,18.29,13.17,0.255,11.31,32.0
20210509,2021-05-09,564.79,73.03,17.71,12.75,0.252,11.47,32.0
20210510,2021-05-10,437.68,53.6,18.85,13.57,0.275,11.94,32.0
20210511,2021-05-11,424.83,51.05,17.96,12.93,0.257,11.63,32.0
20210512,2021-05-12,426.18,51.22,17.68,12.73,0.277,11.56,32.0
20210513,2021-05-13,412.08,53.38,18.02,12.97,0.255,11.49,32.0
20210514,2021-05-14,463.42,57.4,17.88,12.87,0.268,11.59,32.0
20210515,2021-05-15,575.75,68.99,17.45,12.56,0.315,11.71,32.0
20210516,2021-05-16,575.99,68.65,17.98,12.95,0.296,11.66,32.0
20210517,2021-05-17,413.5,50.84,17.88,12.87,0.272,11.41,32.0
20210518,2021-05-18,415.5,53.49,18.76,13.51,0.275,11.7,32.0
20210519,2021-05-19,440.54,52.59,16.95,12.2,0.316,11.82,32.0
20210520,2021-05-20,432.58,53.64,18.58,13.38,0.304,11.66,32.0
20210521,2021-05-21,474.84,58.77,17.64,12.7,0.279,11.68,32.0
20210522,2021-05-22,566.93,67.67,18.5,13.32,0.329,11.61,32.0
20210523,2021-05-23,559.54,68.34,18.69,13.46,0.253,11.77,32.0
20210524,2021-05-24,411.95,49.44,17.48,12.59,0.279,11.45,32.0
20210525,2021-05-25,435.64,54.39,17.38,12.51,0.3,11.5,32.0
20210526,2021-05-26,436.79,53.44,17.29,12.45,0.254,11.63,32.0
20210527,2021-05-27,421.3,52.21,18.14,13.06,0.286,11.57,32.0
20210528,2021-05-28,484.77,62.98,18.32,13.19,0.284,11.81,32.0
20210529,2021-05-29,570.17,70.9,17.17,12.36,0.256,11.86,32.0
20210530,2021-05-30,565.78,68.15,17.64,12.7,0.308,11.8,32.0
20210531,2021-05-31,439.18,56.58,17.3,12.46,0.234,11.44,32.0
20210601,2021-06-01,436.22,52.46,17.79,12.81,0.26,11.63,32.0
20210602,2021-06-02,429.85,51.05,18.46,13.29,0.258,11.67,32.0
20210603,2021-06-03,415.24,52.62,17.67,12.72,0.263,11.3,32.0
20210604,2021-06-04,463.77,56.37,17.27,12.43,0.241,11.54,32.0
20210605,2021-06-05,577.56,69.1,18.25,13.14,0.254,11.91,32.0
20210606,2021-06-06,564.05,72.18,18.82,13.55,0.273,11.48,32.0
20210607,2021-06-07,436.75,52.55,17.64,12.7,0.294,11.35,32.0
20210608,2021-06-08,440.94,53.18,17.71,12.75,0.236,11.34,32.0
20210609,2021-06-09,443.85,55.4,17.9,12.89,0.285,11.59,32.0
20210610,2021-06-10,417.12,51.66,18.99,13.67,0.287,11.58,32.0
20210611,2021-06-11,494.03,59.76,18.92,13.62,0.281,11.57,32.0
20210612,2021-06-12,579.1,69.25,17.48,12.59,0.28,11.34,32.0
20210613,2021-06-13,551.14,69.74,18.28,13.16,0.316,11.8,32.0
20210614,2021-06-14,431.71,51.62,18.79,13.53,0.286,11.58,32.0
20210615,2021-06-15,442.35,54.9,17.78,12.8,0.307,11.47,32.0
20210616,2021-06-16,418.87,50.25,18.13,13.05,0.296,11.28,32.0
20210617,2021-06-17,442.12,53.39,16.85,12.13,0.281,11.59,32.0
20210618,2021-06-18,493.33,64.17,18.02,12.97,0.286,11.28,32.0
20210619,2021-06-19,563.92,68.11,17.89,12.88,0.247,11.68,32.0
20210620,2021-06-20,557.09,66.27,18.48,13.31,0.264,11.19,32.0
20210621,2021-06-21,433.63,56.03,17.96,12.93,0.281,11.22,32.0
20210622,2021-06-22,434.8,56.1,18.62,13.41,0.236,11.42,32.0
20210623,2021-06-23,417.46,51.35,17.33,12.48,0.3,11.53,32.0
20210624,2021-06-24,445.69,57.95,17.67,12.72,0.274,11.69,32.0
20210625,2021-06-25,485.28,58.74,18.08,13.02,0.284,11.61,32.0
20210626,2021-06-26,561.13,68.14,17.39,12.52,0.276,11.67,32.0
20210627,2021-06-27,570.45,72.02,17.66,12.72,0.265,11.57,32.0
20210628,2021-06-28,415.44,50.66,18.9,13.61,0.265,11.6,32.0
20210629,2021-06-29,440.86,55.4,18.05,13.0,0.291,11.36,32.0
20210630,2021-06-30,432.39,55.18,18.24,13.13,0.309,11.58,32.0
20210701,2021-07-01,425.36,51.1,17.83,12.84,0.257,11.62,32.0
20210702,2021-07-02,465.96,59.09,18.5,13.32,0.32,11.49,32.0
20210703,2021-07-03,577.24,68.97,17.99,12.95,0.256,11.51,32.0
20210704,2021-07-04,557.48,66.25,18.21,13.11,0.279,11.45,32.0
20210705,2021-07-05,416.8,54.54,18.2,13.1,0.257,11.59,32.0
20210706,2021-07-06,427.69,52.0,18.4,13.25,0.271,11.56,32.0
20210707,2021-07-07,417.63,53.57,17.85,12.85,0.278,11.44,32.0
20210708,2021-07-08,427.26,56.08,17.84,12.84,0.259,11.82,32.0
20210709,2021-07-09,489.48,59.93,18.33,13.2,0.28,11.58,32.0
20210710,2021-07-10,546.2,67.72,18.29,13.17,0.268,11.53,32.0
20210711,2021-07-11,554.48,69.87,18.15,13.07,0.304,11.32,32.0
20210712,2021-07-12,447.05,55.06,18.03,12.98,0.278,11.7,32.0
20210713,2021-07-13,426.97,50.88,18.17,13.08,0.291,11.9,32.0
20210714,2021-07-14,438.32,56.48,18.02,12.97,0.297,11.34,32.0
20210715,2021-07-15,420.32,52.56,18.48,13.31,0.312,11.18,32.0
20210716,2021-07-16,484.27,62.42,17.72,12.76,0.256,11.42,32.0
20210717,2021-07-17,587.11,73.77,17.66,12.72,0.314,11.49,32.0
20210718,2021-07-18,557.15,66.29,17.4,12.53,0.291,11.41,32.0
20210719,2021-07-19,428.41,52.94,18.54,13.35,0.294,11.32,32.0
20210720,2021-07-20,442.82,54.66,18.46,13.29,0.262,11.67,32.0
20210721,2021-07-21,420.85,51.88,17.51,12.61,0.244,11.18,32.0
20210722,2021-07-22,416.06,50.5,18.31,13.18,0.251,11.39,32.0
20210723,2021-07-23,488.49,59.58,17.31,12.46,0.294,12.01,32.0
20210724,2021-07-24,588.44,70.08,17.74,12.77,0.258,11.51,32.0
20210725,2021-07-25,587.49,76.67,16.89,12.16,0.271,11.19,32.0
20210726,2021-07-26,436.17,55.19,17.84,12.84,0.275,11.39,32.0
20210727,2021-07-27,416.58,52.35,18.11,13.04,0.28,11.59,32.0
20210728,2021-07-28,437.15,55.83,18.87,13.59,0.285,11.09,32.0
20210729,2021-07-29,447.45,57.9,18.13,13.05,0.266,11.49,32.0
20210730,2021-07-30,483.26,61.98,18.62,13.41,0.269,11.47,32.0
20210731,2021-07-31,557.47,69.35,18.39,13.24,0.274,11.48,32.0
20210801,2021-08-01,589.88,71.13,17.78,12.8,0.273,11.44,32.0
20210802,2021-08-02,438.75,53.48,17.71,12.75,0.267,11.28,32.0
20210803,2021-08-03,416.99,51.21,18.11,13.04,0.237,11.77,32.0
20210804,2021-08-04,447.54,56.57,18.39,13.24,0.287,11.71,32.0
20210805,2021-08-05,449.15,58.17,18.59,13.38,0.307,11.58,32.0
20210806,2021-08-06,479.56,60.29,17.74,12.77,0.227,11.23,32.0
20210807,2021-08-07,551.62,68.43,17.65,12.71,0.284,11.38,32.0
20210808,2021-08-08,553.14,66.31,18.1,13.03,0.259,11.23,32.0
20210809,2021-08-09,435.68,56.47,17.68,12.73,0.307,11.3,32.0
20210810,2021-08-10,433.48,52.32,18.05,13.0,0.298,11.3,32.0
20210811,2021-08-11,441.2,56.29,17.11,12.32,0.267,11.77,32.0
20210812,2021-08-12,423.0,55.3,18.27,13.15,0.303,11.31,32.0
20210813,2021-08-13,469.25,58.62,18.59,13.38,0.283,11.73,32.0
20210814,2021-08-14,554.82,66.62,18.52,13.33,0.29,11.65,32.0
20210815,2021-08-15,570.13,72.66,18.02,12.97,0.255,11.67,32.0
20210816,2021-08-16,423.85,52.4,17.57,12.65,0.284,11.7,32.0
20210817,2021-08-17,440.82,56.54,18.19,13.1,0.278,11.75,32.0
20210818,2021-08-18,425.9,52.93,18.12,13.05,0.279,11.73,32.0
20210819,2021-08-19,425.05,50.78,18.67,13.44,0.282,11.6,32.0
20210820,2021-08-20,499.43,64.04,17.63,12.69,0.311,11.54,32.0
20210821,2021-08-21,563.95,67.01,17.92,12.9,0.306,11.47,32.0
20210822,2021-08-22,556.53,69.83,18.21,13.11,0.254,11.61,32.0
20210823,2021-08-23,419.28,51.64,18.9,13.61,0.286,11.91,32.0
20210824,2021-08-24,434.85,56.9,18.55,13.36,0.281,11.65,32.0
20210825,2021-08-25,438.48,54.13,17.52,12.61,0.267,11.48,32.0
20210826,2021-08-26,424.08,55.14,17.21,12.39,0.277,11.57,32.0
20210827,2021-08-27,486.43,60.1,18.59,13.38,0.279,11.76,32.0
20210828,2021-08-28,582.22,73.18,18.34,13.2,0.25,11.25,32.0
20210829,2021-08-29,582.95,71.71,19.37,13.95,0.283,11.47,32.0
20210830,2021-08-30,424.45,54.58,18.0,12.96,0.284,11.43,32.0
20210831,2021-08-31,448.1,57.48,16.48,11.87,0.269,11.1,32.0
20210901,2021-09-01,430.02,52.57,17.88,12.87,0.266,11.36,32.0
20210902,2021-09-02,425.38,54.84,19.13,13.77,0.281,11.37,32.0
20210903,2021-09-03,502.03,65.72,17.95,12.92,0.308,11.64,32.0
20210904,2021-09-04,589.61,75.26,17.89,12.88,0.279,11.3,32.0
20210905,2021-09-05,550.32,70.79,18.42,13.26,0.285,11.19,32.0
20210906,2021-09-06,418.34,53.64,18.31,13.18,0.302,11.52,32.0
20210907,2021-09-07,449.58,57.02,18.06,13.0,0.282,11.69,32.0
20210908,2021-09-08,420.12,54.07,18.51,13.33,0.249,11.52,32.0
20210909,2021-09-09,441.97,55.51,17.79,12.81,0.276,11.83,32.0
20210910,2021-09-10,485.4,62.47,17.8,12.82,0.27,11.49,32.0
20210911,2021-09-11,592.61,77.46,17.47,12.58,0.293,11.31,32.0
20210912,2021-09-12,554.03,68.28,17.29,12.45,0.257,11.45,32.0
20210913,2021-09-13,433.63,51.73,18.0,12.96,0.245,11.53,32.0
20210914,2021-09-14,436.65,54.47,17.9,12.89,0.281,11.37,32.0
20210915,2021-09-15,449.55,54.1,18.27,13.15,0.249,11.81,32.0
20210916,2021-09-16,417.22,54.56,18.6,13.39,0.256,11.54,32.0
20210917,2021-09-17,500.39,65.41,18.58,13.38,0.27,11.7,32.0
20210918,2021-09-18,568.73,70.31,18.59,13.38,0.28,11.49,32.0
20210919,2021-09-19,561.27,68.48,17.92,12.9,0.318,11.36,32.0
20210920,2021-09-20,447.78,55.99,18.86,13.58,0.302,11.35,32.0
20210921,2021-09-21,434.74,54.78,17.73,12.77,0.305,11.51,32.0
20210922,2021-09-22,438.52,53.02,17.45,12.56,0.283,11.77,32.0
20210923,2021-09-23,438.42,55.95,19.51,14.05,0.305,11.84,32.0
20210924,2021-09-24,494.74,59.0,18.62,13.41,0.261,11.3,32.0
20210925,2021-09-25,550.07,71.88,18.68,13.45,0.26,11.66,32.0
20210926,2021-09-26,594.69,74.0,18.44,13.28,0.264,11.65,32.0
20210927,2021-09-27,428.72,52.24,18.49,13.31,0.285,11.16,32.0
20210928,2021-09-28,449.86,55.92,17.65,12.71,0.306,11.38,32.0
20210929,2021-09-29,432.47,52.12,18.02,12.97,0.275,11.38,32.0
20210930,2021-09-30,431.31,54.3,17.36,12.5,0.278,11.34,32.0
20211001,2021-10-01,496.46,62.66,17.34,12.48,0.284,11.53,32.0
20211002,2021-10-02,570.77,69.3,18.59,13.38,0.28,11.57,32.0
20211003,2021-10-03,589.41,75.51,18.01,12.97,0.336,11.53,32.0
20211004,2021-10-04,432.02,51.69,17.36,12.5,0.248,11.7,32.0
20211005,2021-10-05,443.52,55.26,18.41,13.26,0.292,11.45,32.0
20211006,2021-10-06,442.53,54.0,18.05,13.0,0.288,11.58,32.0
20211007,2021-10-07,429.25,55.7,17.8,12.82,0.33,11.74,32.0
20211008,2021-10-08,474.75,60.2,17.27,12.43,0.257,11.62,32.0
20211009,2021-10-09,582.24,74.02,18.05,13.0,0.283,11.44,32.0
20211010,2021-10-10,589.9,74.86,18.05,13.0,0.265,11.48,32.0
20211011,2021-10-11,448.57,56.82,17.65,12.71,0.281,11.07,32.0
20211012,2021-10-12,437.1,54.33,18.26,13.15,0.284,11.25,32.0
20211013,2021-10-13,430.21,55.04,18.55,13.36,0.252,11.29,32.0
20211014,2021-10-14,451.99,54.74,17.19,12.38,0.286,11.73,32.0
20211015,2021-10-15,471.74,59.11,17.57,12.65,0.299,11.76,32.0
20211016,2021-10-16,551.26,72.07,18.56,13.36,0.289,11.37,32.0
20211017,2021-10-17,570.34,73.47,17.37,12.51,0.274,11.53,32.0
20211018,2021-10-18,439.0,54.63,17.93,12.91,0.264,11.68,32.0
20211019,2021-10-19,424.44,53.1,18.52,13.33,0.291,11.53,32.0
20211020,2021-10-20,440.49,53.79,17.3,12.46,0.285,10.85,32.0
20211021,2021-10-21,421.67,50.81,17.39,12.52,0.277,11.25,32.0
20211022,2021-10-22,474.66,59.13,18.4,13.25,0.256,11.36,32.0
20211023,2021-10-23,564.1,72.1,18.76,13.51,0.302,11.25,32.0
20211024,2021-10-24,583.65,71.03,18.2,13.1,0.282,11.54,32.0
20211025,2021-10-25,434.89,54.38,17.93,12.91,0.28,11.3,32.0
20211026,2021-10-26,423.09,52.77,17.55,12.64,0.278,11.43,32.0
20211027,2021-10-27,420.68,50.04,16.84,12.12,0.305,11.53,32.0
20211028,2021-10-28,427.96,55.22,18.07,13.01,0.257,11.13,32.0
20211029,2021-10-29,501.85,65.6,18.24,13.13,0.257,11.59,32.0
20211030,2021-10-30,581.34,73.35,17.62,12.69,0.287,11.84,32.0
20211031,2021-10-31,562.26,67.36,18.33,13.2,0.285,11.5,32.0
20211101,2021-11-01,447.7,54.82,17.22,12.4,0.303,11.5,32.0
20211102,2021-11-02,446.12,57.72,17.87,12.87,0.266,11.16,32.0
20211103,2021-11-03,450.04,55.14,18.01,12.97,0.286,11.44,32.0
20211104,2021-11-04,448.59,57.51,18.98,13.67,0.281,11.8,32.0
20211105,2021-11-05,482.3,59.95,18.24,13.13,0.279,11.29,32.0
20211106,2021-11-06,592.6,75.23,18.5,13.32,0.276,11.61,32.0
20211107,2021-11-07,560.68,67.39,17.01,12.25,0.297,11.28,32.0
20211108,2021-11-08,430.42,53.84,17.89,12.88,0.258,11.69,32.0
20211109,2021-11-09,435.85,52.24,17.93,12.91,0.243,11.71,32.0
20211110,2021-11-10,452.57,54.69,18.82,13.55,0.239,11.63,32.0
20211111,2021-11-11,436.82,56.5,18.07,13.01,0.266,11.5,32.0
20211112,2021-11-12,486.8,59.19,18.06,13.0,0.271,11.49,32.0
20211113,2021-11-13,580.56,72.08,17.74,12.77,0.271,11.35,32.0
20211114,2021-11-14,563.42,67.53,17.68,12.73,0.241,11.63,32.0
20211115,2021-11-15,434.32,56.78,17.2,12.38,0.268,11.66,32.0
20211116,2021-11-16,431.08,54.91,17.82,12.83,0.254,11.72,32.0
20211117,2021-11-17,428.79,54.22,17.12,12.33,0.283,11.5,32.0
20211118,2021-11-18,421.77,52.84,17.71,12.75,0.211,11.53,32.0
20211119,2021-11-19,470.57,55.95,17.85,12.85,0.306,11.13,32.0
20211120,2021-11-20,726.54,86.53,17.71,12.75,0.286,11.22,32.0
20211121,2021-11-21,695.96,85.1,18.31,13.18,0.287,11.45,32.0
20211122,2021-11-22,554.19,68.67,18.66,13.44,0.301,11.2,32.0
20211123,2021-11-23,555.05,70.34,18.46,13.29,0.27,11.53,32.0
20211124,2021-11-24,534.63,65.85,18.52,13.33,0.269,11.55,32.0
20211125,2021-11-25,537.45,67.41,18.67,13.44,0.269,11.35,32.0
20211126,2021-11-26,587.76,72.94,18.33,13.2,0.301,11.32,32.0
20211127,2021-11-27,725.57,95.23,18.17,13.08,0.271,11.18,32.0
20211128,2021-11-28,698.65,88.49,18.1,13.03,0.252,11.47,32.0
20211129,2021-11-29,539.98,68.92,18.2,13.1,0.279,11.76,32.0
20211130,2021-11-30,532.85,69.87,17.98,12.95,0.254,11.55,32.0
20211201,2021-12-01,530.59,68.87,18.68,13.45,0.273,11.64,32.0
20211202,2021-12-02,568.11,73.65,18.21,13.11,0.282,11.42,32.0
20211203,2021-12-03,590.44,71.57,17.09,12.3,0.261,11.5,32.0
20211204,2021-12-04,711.92,92.29,18.32,13.19,0.295,11.3,32.0
20211205,2021-12-05,715.15,85.0,18.12,13.05,0.267,11.56,32.0
20211206,2021-12-06,540.75,70.4,17.66,12.72,0.272,11.49,32.0
20211207,2021-12-07,539.68,69.06,17.81,12.82,0.329,11.35,32.0
20211208,2021-12-08,568.72,71.92,18.75,13.5,0.278,11.66,32.0
20211209,2021-12-09,550.27,70.41,18.43,13.27,0.265,11.52,32.0
20211210,2021-12-10,627.88,80.04,17.29,12.45,0.291,11.25,32.0
20211211,2021-12-11,711.8,84.76,18.25,13.14,0.264,11.55,32.0
20211212,2021-12-12,717.03,91.32,18.42,13.26,0.313,11.66,32.0
20211213,2021-12-13,558.13,69.72,17.9,12.89,0.297,11.48,32.0
20211214,2021-12-14,538.49,66.25,17.47,12.58,0.249,11.67,32.0
20211215,2021-12-15,536.95,68.97,17.53,12.62,0.275,11.5,32.0
20211216,2021-12-16,546.71,66.59,18.31,13.18,0.299,11.53,32.0
20211217,2021-12-17,604.46,78.92,16.92,12.18,0.252,11.31,32.0
20211218,2021-12-18,736.06,95.78,17.87,12.87,0.265,11.61,32.0
20211219,2021-12-19,743.58,94.43,18.9,13.61,0.268,11.29,32.0
20211220,2021-12-20,549.32,66.15,17.85,12.85,0.296,11.49,32.0
