content_id,title_name,content_type,genre,original_language,release_year,production_budget_m_usd,imdb_rating,episodes_count,is_netflix_original,content_tier
93,Quantum Voyage: Chapter 2,Movie,Sci-Fi & Fantasy,French,2023,4.6,7.1,1,1,Core Catalog
94,Lost Voyage,Animation,Romance,Spanish,2021,5.0,8.1,8,1,Core Catalog
95,Hidden Protocol: Chapter 2,TV Series,Drama,Spanish,2025,12.4,6.7,12,0,Core Catalog
96,Midnight Project,Movie,Action & Adventure,Hindi,2022,13.3,6.2,1,1,Core Catalog
97,Shattered Empire,Docuseries,Action & Adventure,Spanish,2023,4.5,7.4,9,1,Core Catalog
98,Forbidden Detective: Chapter 3,TV Series,Reality TV & Lifestyle,English,2022,14.0,7.1,7,1,Core Catalog
99,Infinite Horizon: Chapter 2,Animation,Comedy,German,2024,10.0,6.7,15,1,Core Catalog
100,Neon Horizon: Chapter 4,TV Series,Romance,German,2025,26.9,6.5,14,0,Mid-Tier Hit
101,Secret Protocol,Movie,Thriller & Mystery,English,2023,12.6,8.6,1,1,Core Catalog
102,Last Protocol,TV Series,Thriller & Mystery,English,2023,7.3,7.6,16,1,Core Catalog
103,Lost Dynasty,Stand-up Comedy,Drama,Spanish,2025,5.5,5.4,1,1,Core Catalog
104,Lost Voyage,Docuseries,Drama,English,2023,2.0,8.1,7,1,Core Catalog
105,Lost Code: Chapter 3,TV Series,Crime & Docuseries,Japanese,2021,12.3,7.0,7,0,Core Catalog
106,Golden Horizon,TV Series,Sci-Fi & Fantasy,Hindi,2023,18.4,8.0,8,1,Core Catalog
107,Quantum Chronicles: Chapter 2,Movie,Thriller & Mystery,English,2024,4.2,6.3,1,0,Core Catalog
108,Neon Signal,TV Series,Reality TV & Lifestyle,English,2022,25.1,7.3,17,1,Mid-Tier Hit
109,Eternal Frontier: Chapter 3,Movie,Reality TV & Lifestyle,French,2023,35.2,6.8,1,1,Mid-Tier Hit
110,Dangerous Detective,TV Series,Reality TV & Lifestyle,Japanese,2021,92.2,7.7,7,0,Blockbuster Tentpole
111,Shattered Empire,TV Series,Crime & Docuseries,Korean,2023,48.3,7.2,7,0,Mid-Tier Hit
112,Eternal Echoes,Movie,Sci-Fi & Fantasy,Spanish,2024,34.1,6.3,1,0,Mid-Tier Hit
113,Wild Detective,TV Series,Horror,Spanish,2023,13.7,8.2,16,0,Core Catalog
114,Forbidden Kingdom,Animation,Romance,Korean,2025,20.6,6.8,9,0,Core Catalog
115,Electric Syndicate,Docuseries,Sci-Fi & Fantasy,Korean,2023,7.7,9.2,16,1,Core Catalog
116,Midnight Empire,TV Series,Sci-Fi & Fantasy,Japanese,2024,15.5,7.7,16,1,Core Catalog
117,Wild Kingdom: Chapter 3,TV Series,Animation & Anime,Japanese,2024,4.8,7.0,7,1,Core Catalog
118,Crimson Dynasty,Live Event,Reality TV & Lifestyle,English,2024,6.9,8.0,1,1,Core Catalog
119,Last Code,Animation,Sci-Fi & Fantasy,English,2024,17.8,6.7,12,1,Core Catalog
120,Eternal Code,TV Series,Sci-Fi & Fantasy,Hindi,2023,37.5,5.8,11,1,Mid-Tier Hit
121,Golden Echoes: Chapter 4,Animation,Reality TV & Lifestyle,Hindi,2023,10.9,8.4,7,1,Core Catalog
122,Dangerous Code,Movie,Horror,Spanish,2022,16.3,7.0,1,1,Core Catalog
123,Royal Mirror: Chapter 4,TV Series,Sci-Fi & Fantasy,English,2022,7.7,6.9,6,1,Core Catalog
124,Midnight Code: Chapter 3,Stand-up Comedy,Action & Adventure,Japanese,2021,15.2,7.1,1,1,Core Catalog
125,Dangerous Chronicles,TV Series,Crime & Docuseries,Korean,2023,24.8,8.2,6,0,Core Catalog
126,Dangerous Legacy: Chapter 3,TV Series,Horror,German,2025,10.6,7.7,8,1,Core Catalog
127,Silent Chronicles: Chapter 4,TV Series,Horror,Spanish,2023,15.6,6.9,14,0,Core Catalog
128,Lost Kingdom,Animation,Sci-Fi & Fantasy,English,2023,28.7,6.1,10,1,Mid-Tier Hit
129,Neon Legacy,TV Series,Drama,English,2025,22.8,7.7,16,1,Core Catalog
130,Royal Syndicate,Movie,Animation & Anime,English,2022,7.8,7.6,1,0,Core Catalog
131,Dangerous Echoes: Chapter 2,Animation,Reality TV & Lifestyle,Spanish,2025,23.0,7.5,7,1,Core Catalog
132,Wild Syndicate: Chapter 4,Movie,Romance,English,2021,12.0,6.5,1,1,Core Catalog
133,Forbidden Kingdom,TV Series,Horror,Portuguese,2022,14.2,6.7,9,1,Core Catalog
134,Shadow Island: Chapter 4,Movie,Crime & Docuseries,Korean,2023,10.5,7.4,1,1,Core Catalog
135,Forbidden City: Chapter 4,Docuseries,Romance,English,2024,15.0,6.0,15,1,Core Catalog
136,Secret Frontier: Chapter 4,Animation,Thriller & Mystery,Spanish,2022,23.2,7.3,11,1,Core Catalog
137,Golden Mirror,Docuseries,Comedy,English,2022,6.0,8.4,7,1,Core Catalog
138,Lost City,Docuseries,Animation & Anime,English,2022,7.7,7.4,12,1,Core Catalog
139,Quantum Code,TV Series,Reality TV & Lifestyle,Korean,2024,5.0,7.4,9,1,Core Catalog
140,Lost Chronicles: Chapter 2,TV Series,Crime & Docuseries,Spanish,2022,7.8,8.6,7,0,Core Catalog
141,Dark Protocol: Chapter 4,Stand-up Comedy,Crime & Docuseries,English,2024,13.3,6.7,1,1,Core Catalog
142,Dangerous Horizon,Live Event,Crime & Docuseries,Korean,2024,8.2,7.1,1,1,Core Catalog
143,Crimson Empire: Chapter 3,TV Series,Drama,French,2023,21.8,7.2,7,1,Core Catalog
144,Electric Island: Chapter 3,TV Series,Crime & Docuseries,Spanish,2024,38.1,6.6,9,1,Mid-Tier Hit
145,Golden Syndicate,TV Series,Comedy,Spanish,2023,7.2,6.6,7,1,Core Catalog
146,Midnight Island: Chapter 2,Docuseries,Romance,English,2022,8.4,7.1,14,1,Core Catalog
147,Eternal Dynasty: Chapter 4,TV Series,Crime & Docuseries,English,2022,3.7,6.3,13,1,Core Catalog
148,Neon Syndicate,TV Series,Comedy,Spanish,2023,4.5,6.6,9,1,Core Catalog
149,Shadow Horizon: Chapter 2,Movie,Crime & Docuseries,English,2023,24.4,7.3,1,0,Core Catalog
150,Shattered Syndicate,TV Series,Sci-Fi & Fantasy,English,2025,70.1,7.9,13,1,Mid-Tier Hit
151,Silent Legacy: Chapter 4,TV Series,Drama,English,2025,4.7,6.9,17,1,Core Catalog
152,Electric Mirror,TV Series,Reality TV & Lifestyle,English,2024,8.4,7.6,17,1,Core Catalog
153,Eternal Kingdom: Chapter 4,TV Series,Horror,Korean,2023,10.9,7.1,17,1,Core Catalog
154,Dark Legacy,Live Event,Horror,Spanish,2025,17.5,5.3,1,1,Core Catalog
155,Secret Empire,TV Series,Reality TV & Lifestyle,English,2023,36.5,4.5,12,1,Mid-Tier Hit
156,Shattered Frontier: Chapter 3,Movie,Crime & Docuseries,English,2021,12.0,6.7,1,1,Core Catalog
157,Silent Mirror: Chapter 3,Movie,Crime & Docuseries,Hindi,2022,19.0,7.3,1,1,Core Catalog
158,Dark Voyage: Chapter 3,Docuseries,Animation & Anime,Japanese,2025,3.7,7.9,10,1,Core Catalog
159,Royal Project: Chapter 2,TV Series,Crime & Docuseries,English,2025,13.5,8.0,16,0,Core Catalog
160,Shattered Syndicate,TV Series,Crime & Docuseries,English,2025,18.1,6.2,6,1,Core Catalog
161,Neon Mirror,TV Series,Drama,English,2023,17.0,6.9,17,1,Core Catalog
162,Lost Signal: Chapter 2,TV Series,Reality TV & Lifestyle,Japanese,2023,5.4,5.6,14,1,Core Catalog
163,Midnight Detective: Chapter 4,Movie,Comedy,Korean,2024,13.2,8.2,1,1,Core Catalog
164,Secret Voyage,Animation,Action & Adventure,Hindi,2022,11.3,6.7,11,1,Core Catalog
165,Forbidden Legacy,Movie,Action & Adventure,English,2022,9.3,8.5,1,0,Core Catalog
166,Eternal Echoes: Chapter 4,Stand-up Comedy,Reality TV & Lifestyle,English,2022,18.7,6.3,1,1,Core Catalog
167,Dark Game,TV Series,Comedy,English,2021,126.1,7.5,16,1,Blockbuster Tentpole
168,Dangerous Horizon: Chapter 2,Docuseries,Reality TV & Lifestyle,English,2023,38.7,6.3,10,0,Mid-Tier Hit
169,Hidden Echoes,Docuseries,Romance,Korean,2021,27.3,7.5,6,1,Mid-Tier Hit
170,Golden Code,TV Series,Drama,English,2022,21.1,7.1,14,0,Core Catalog
171,Crimson Syndicate: Chapter 4,TV Series,Action & Adventure,Korean,2023,4.4,8.0,8,1,Core Catalog
172,Golden Syndicate,Animation,Comedy,English,2025,7.3,9.0,14,0,Core Catalog
173,Lost Protocol,Docuseries,Action & Adventure,English,2024,6.4,6.0,17,1,Core Catalog
174,Golden Empire,Movie,Romance,English,2023,8.5,7.2,1,1,Core Catalog
175,Royal Game,Stand-up Comedy,Horror,English,2023,10.7,5.8,1,1,Core Catalog
176,Dark Frontier: Chapter 3,TV Series,Action & Adventure,Japanese,2024,18.6,9.3,6,1,Core Catalog
177,Silent Syndicate,TV Series,Comedy,English,2022,46.9,7.1,14,1,Mid-Tier Hit
178,Golden Chronicles,TV Series,Reality TV & Lifestyle,Korean,2023,17.6,7.0,9,1,Core Catalog
179,Golden Signal,TV Series,Animation & Anime,Spanish,2024,29.1,7.2,10,1,Mid-Tier Hit
180,Dark Detective: Chapter 3,Movie,Crime & Docuseries,English,2024,2.2,7.2,1,0,Core Catalog
181,Hidden City: Chapter 2,TV Series,Action & Adventure,English,2023,7.8,7.0,9,1,Core Catalog
182,Neon Kingdom: Chapter 3,Movie,Sci-Fi & Fantasy,Korean,2022,61.0,7.0,1,0,Mid-Tier Hit
183,Electric Detective,Movie,Horror,English,2022,16.7,6.4,1,1,Core Catalog
184,Last Heist,Live Event,Drama,English,2022,5.5,6.9,1,1,Core Catalog
185,Infinite Empire,TV Series,Crime & Docuseries,French,2024,32.8,6.4,11,1,Mid-Tier Hit
186,Shadow Project: Chapter 3,TV Series,Romance,Korean,2022,5.4,6.4,9,0,Core Catalog
187,Hidden Empire,Movie,Action & Adventure,French,2021,2.6,6.7,1,1,Core Catalog
188,Wild Syndicate,TV Series,Crime & Docuseries,English,2025,10.1,8.7,14,1,Core Catalog
189,Lost Chronicles,TV Series,Reality TV & Lifestyle,German,2022,46.6,8.5,11,1,Mid-Tier Hit
190,Eternal Mirror,TV Series,Animation & Anime,Hindi,2021,19.9,6.7,13,0,Core Catalog
191,Last Horizon,TV Series,Animation & Anime,English,2021,10.1,8.2,16,0,Core Catalog
192,Dangerous Protocol,TV Series,Action & Adventure,Korean,2024,36.5,6.4,6,1,Mid-Tier Hit
193,Hidden Heist: Chapter 2,Movie,Sci-Fi & Fantasy,Korean,2021,35.5,7.1,1,1,Mid-Tier Hit
194,Shattered Signal: Chapter 3,TV Series,Comedy,English,2025,7.1,5.3,6,0,Core Catalog
195,Last Game,TV Series,Horror,English,2022,29.9,6.8,13,1,Mid-Tier Hit
196,Lost Detective: Chapter 4,TV Series,Sci-Fi & Fantasy,Korean,2022,40.4,6.4,16,0,Mid-Tier Hit
197,Last Island,TV Series,Sci-Fi & Fantasy,English,2024,7.5,5.5,13,1,Core Catalog
198,Neon Code,Docuseries,Drama,Spanish,2022,14.7,6.0,10,1,Core Catalog
199,Hidden Horizon,TV Series,Drama,Japanese,2025,20.3,5.8,7,1,Core Catalog
200,Royal Project,Movie,Romance,Korean,2024,19.8,7.3,1,1,Core Catalog
201,Secret Signal,Docuseries,Horror,Portuguese,2023,7.0,7.1,13,1,Core Catalog
202,Golden Kingdom: Chapter 3,TV Series,Comedy,Japanese,2025,11.8,6.0,10,1,Core Catalog
203,Infinite Signal,TV Series,Romance,Spanish,2024,60.6,8.0,13,1,Mid-Tier Hit
204,Shattered Game: Chapter 3,Docuseries,Thriller & Mystery,Spanish,2021,2.0,7.8,9,0,Core Catalog
205,Last Dynasty,TV Series,Romance,Japanese,2022,8.0,8.1,16,1,Core Catalog
206,Forbidden Protocol: Chapter 4,TV Series,Crime & Docuseries,Korean,2024,6.0,7.4,15,1,Core Catalog
207,Shattered Protocol,TV Series,Sci-Fi & Fantasy,English,2024,10.3,5.9,10,0,Core Catalog
208,Infinite Heist,Movie,Comedy,French,2023,16.1,8.7,1,0,Core Catalog
209,Quantum Game,TV Series,Horror,English,2021,12.7,7.1,13,1,Core Catalog
210,Golden Detective,TV Series,Reality TV & Lifestyle,English,2022,41.6,6.9,11,0,Mid-Tier Hit
211,Last Island: Chapter 2,TV Series,Horror,Spanish,2021,4.0,6.2,7,1,Core Catalog
212,Forbidden Signal: Chapter 3,Animation,Sci-Fi & Fantasy,Japanese,2023,33.4,6.3,13,1,Mid-Tier Hit
213,Infinite Dynasty,Live Event,Sci-Fi & Fantasy,English,2024,4.5,8.1,1,1,Core Catalog
214,Crimson Mirror,TV Series,Sci-Fi & Fantasy,Japanese,2023,37.0,5.0,7,0,Mid-Tier Hit
215,Midnight Empire,Docuseries,Drama,Spanish,2021,6.7,7.7,7,0,Core Catalog
216,Forbidden Horizon,TV Series,Thriller & Mystery,Korean,2023,9.8,6.4,8,1,Core Catalog
217,Lost City: Chapter 3,TV Series,Comedy,Japanese,2023,58.3,7.4,14,0,Mid-Tier Hit
218,Lost Game,Movie,Sci-Fi & Fantasy,English,2023,20.9,6.4,1,1,Core Catalog
219,Secret Game,Docuseries,Sci-Fi & Fantasy,English,2023,8.6,7.9,17,0,Core Catalog
220,Lost Island,TV Series,Horror,English,2025,22.3,6.1,17,1,Core Catalog
221,Dark Horizon: Chapter 4,TV Series,Sci-Fi & Fantasy,English,2023,21.6,6.6,11,1,Core Catalog
222,Shattered Empire,TV Series,Drama,English,2025,42.5,9.4,16,1,Mid-Tier Hit
223,Golden Syndicate: Chapter 3,Movie,Sci-Fi & Fantasy,English,2023,20.5,7.8,1,0,Core Catalog
224,Royal Mirror,TV Series,Animation & Anime,Spanish,2024,8.8,7.6,14,0,Core Catalog
225,Infinite Game,Movie,Romance,Korean,2023,8.0,7.4,1,1,Core Catalog
226,Forbidden Code,Movie,Sci-Fi & Fantasy,English,2021,13.7,6.6,1,1,Core Catalog
227,Quantum Frontier: Chapter 2,Docuseries,Crime & Docuseries,English,2021,32.7,7.4,8,1,Mid-Tier Hit
228,Hidden Horizon,TV Series,Sci-Fi & Fantasy,English,2023,10.7,7.0,16,1,Core Catalog
229,Neon Detective: Chapter 3,Movie,Reality TV & Lifestyle,Portuguese,2021,36.7,9.0,1,1,Mid-Tier Hit
230,Quantum Protocol,Movie,Horror,English,2025,4.2,7.6,1,0,Core Catalog
231,Electric Heist,Docuseries,Action & Adventure,English,2022,35.2,8.6,7,1,Mid-Tier Hit
232,Royal Game,Animation,Romance,Spanish,2024,72.9,7.9,7,1,Mid-Tier Hit
233,Electric Syndicate: Chapter 2,TV Series,Action & Adventure,Spanish,2021,6.7,7.0,6,0,Core Catalog
234,Neon Protocol,TV Series,Comedy,English,2024,8.6,7.4,9,1,Core Catalog
235,Silent Syndicate,TV Series,Thriller & Mystery,Korean,2025,17.9,6.7,11,1,Core Catalog
236,Shattered Dynasty: Chapter 3,Animation,Thriller & Mystery,English,2025,17.6,5.8,9,1,Core Catalog
237,Dark Code: Chapter 2,TV Series,Drama,English,2021,22.2,6.9,15,0,Core Catalog
238,Neon Code,TV Series,Action & Adventure,English,2024,15.6,6.6,16,0,Core Catalog
239,Lost Horizon: Chapter 2,Animation,Drama,English,2024,11.2,7.2,6,1,Core Catalog
240,Shadow Empire: Chapter 2,TV Series,Romance,English,2025,19.2,6.4,7,1,Core Catalog
241,Forbidden Syndicate: Chapter 4,Movie,Drama,English,2021,31.4,7.4,1,1,Mid-Tier Hit
242,Crimson Legacy: Chapter 4,Movie,Sci-Fi & Fantasy,English,2021,45.9,7.2,1,1,Mid-Tier Hit
243,Golden Chronicles,Live Event,Sci-Fi & Fantasy,English,2023,3.4,7.8,1,1,Core Catalog
244,Secret Island,Movie,Horror,English,2023,40.2,7.2,1,0,Mid-Tier Hit
245,Eternal City: Chapter 4,Movie,Sci-Fi & Fantasy,English,2023,3.8,8.2,1,1,Core Catalog
246,Silent Kingdom: Chapter 2,Movie,Comedy,English,2023,7.6,6.7,1,1,Core Catalog
247,Secret Dynasty,TV Series,Sci-Fi & Fantasy,Korean,2022,6.1,6.6,13,1,Core Catalog
248,Shadow Kingdom,Live Event,Drama,English,2022,6.7,7.2,1,1,Core Catalog
249,Neon Island,TV Series,Crime & Docuseries,German,2023,25.8,6.8,10,0,Mid-Tier Hit
250,Midnight Heist: Chapter 2,TV Series,Reality TV & Lifestyle,English,2023,15.1,7.5,16,1,Core Catalog
251,Wild Project,TV Series,Crime & Docuseries,Spanish,2022,11.6,8.0,16,1,Core Catalog
252,Eternal Game: Chapter 4,Docuseries,Thriller & Mystery,English,2023,10.8,7.6,13,0,Core Catalog
253,Neon Kingdom: Chapter 2,Docuseries,Thriller & Mystery,Hindi,2024,62.3,8.5,9,1,Mid-Tier Hit
254,Infinite Dynasty: Chapter 2,TV Series,Crime & Docuseries,English,2024,7.9,7.1,17,1,Core Catalog
255,Midnight Chronicles,Docuseries,Crime & Docuseries,Spanish,2023,3.0,9.4,16,1,Core Catalog
256,Neon City: Chapter 4,Movie,Thriller & Mystery,Hindi,2023,14.0,7.0,1,1,Core Catalog
257,Lost Voyage,Docuseries,Drama,Korean,2022,106.3,7.3,10,0,Blockbuster Tentpole
258,Secret Legacy: Chapter 3,Animation,Sci-Fi & Fantasy,Spanish,2024,41.1,6.6,10,1,Mid-Tier Hit
259,Golden Voyage,TV Series,Animation & Anime,Spanish,2024,29.4,7.6,13,1,Mid-Tier Hit
260,Electric Mirror: Chapter 3,Movie,Action & Adventure,English,2025,56.4,6.5,1,0,Mid-Tier Hit
261,Golden Horizon,TV Series,Comedy,English,2021,22.5,7.8,7,1,Core Catalog
262,Silent Empire: Chapter 4,TV Series,Sci-Fi & Fantasy,Japanese,2024,33.1,6.5,7,0,Mid-Tier Hit
263,Crimson Mirror,Animation,Romance,German,2022,11.9,5.9,10,0,Core Catalog
